,fighter_r,fighter_b,winner,total_wins_r,total_losses_r,total_draws_r,total_nc_r,height_r,weight_r,reach_r,stance_r,dob_r,slpm_r,str_acc_r,sapm_r,str_def_r,td_avg_r,td_acc_r,td_def_r,sub_avg_r,total_wins_b,total_losses_b,total_draws_b,total_nc_b,height_b,weight_b,reach_b,stance_b,dob_b,slpm_b,str_acc_b,sapm_b,str_def_b,td_avg_b,td_acc_b,td_def_b,sub_avg_b
0,Derek Brunson,Kevin Holland,Derek Brunson,21,7,0,0,"6'1""",185,"77""",Southpaw,1/04/1984,3.77,47%,2.95,54%,3.02,31%,100%,0.4,21,5,0,0,"6'3""",185,"81""",Orthodox,11/05/1992,4.74,57%,2.77,56%,1.19,42%,52%,0.8
1,Song Kenan,Max Griffin,Max Griffin,16,5,0,0,"6'0""",170,"71""",Orthodox,3/10/1990,4.3,45%,4.2,56%,0.0,0%,45%,0.0,16,8,0,0,"5'11""",170,"76""",Orthodox,11/29/1985,4.08,48%,3.91,56%,1.73,53%,66%,0.5
2,Adrian Yanez,Gustavo Lopez,Adrian Yanez,12,3,0,0,"5'7""",135,"70""",Orthodox,11/29/1993,7.02,54%,2.63,57%,0.0,0%,100%,0.0,12,5,0,0,"5'5""",135,"67""",Orthodox,6/27/1989,2.26,40%,5.08,46%,1.69,66%,27%,0.8
3,Marion Reneau,Macy Chiasson,Macy Chiasson,9,6,1,0,"5'6""",135,"68""",Orthodox,6/20/1977,3.42,41%,3.37,60%,0.52,71%,51%,0.9,7,1,0,0,"5'11""",135,"72""",Orthodox,7/27/1991,4.4,53%,2.22,44%,0.97,16%,70%,0.7
4,Leonardo Santos,Grant Dawson,Grant Dawson,18,4,1,0,"6'0""",155,"75""",Orthodox,2/05/1980,2.76,44%,2.71,60%,1.09,27%,88%,0.4,16,1,0,0,"5'10""",145,"72""",Switch,2/20/1994,3.5,47%,2.13,50%,4.17,45%,33%,2.1
5,Trevin Giles,Roman Dolidze,Trevin Giles,13,2,0,0,"6'0""",185,"74""",Orthodox,8/06/1992,3.57,57%,1.83,64%,1.45,87%,80%,0.2,8,0,0,0,"6'2""",205,"76""",Orthodox,7/15/1988,3.64,53%,1.71,67%,2.34,60%,0%,2.3
6,Leon Edwards,Belal Muhammad,,18,3,0,1,"6'2""",170,"74""",Southpaw,8/25/1991,2.56,47%,2.03,55%,1.35,30%,70%,0.4,18,3,0,1,"5'11""",170,"72""",Orthodox,7/09/1988,4.75,43%,4.02,60%,1.97,28%,85%,0.2
7,Misha Cirkunov,Ryan Spann,Ryan Spann,15,6,0,0,"6'3""",205,"77""",Orthodox,2/27/1987,4.18,51%,3.22,60%,4.28,57%,71%,2.3,19,6,0,0,"6'5""",205,"79""",Orthodox,8/24/1991,3.55,45%,3.45,47%,1.72,41%,60%,1.7
8,Dan Ige,Gavin Tucker,Dan Ige,15,3,0,0,"5'7""",145,"71""",Orthodox,8/06/1991,3.95,46%,3.36,58%,1.68,27%,59%,0.5,13,2,0,0,"5'6""",145,"66""",Southpaw,6/17/1986,4.39,45%,4.28,57%,2.98,42%,53%,1.5
9,Jonathan Martinez,Davey Grant,Davey Grant,13,4,0,0,"5'8""",135,"70""",Southpaw,4/20/1994,4.27,46%,3.81,58%,0.48,37%,63%,0.0,13,4,0,0,"5'8""",135,"69""",Orthodox,12/18/1985,3.93,47%,2.47,63%,2.3,45%,66%,0.2
10,Manel Kape,Matheus Nicolau,Matheus Nicolau,15,6,0,0,"5'5""",125,"68""",Southpaw,11/14/1993,3.67,45%,4.3,48%,1.0,28%,80%,0.0,16,3,1,0,"5'6""",125,"66""",Orthodox,1/06/1993,3.79,52%,2.83,67%,1.93,44%,100%,1.4
11,Eryk Anders,Darren Stewart,,13,5,0,1,"6'1""",185,"75""",Southpaw,4/21/1987,3.23,46%,4.15,51%,1.62,35%,80%,0.1,12,6,0,2,"6'0""",185,"74""",Orthodox,12/30/1990,3.09,44%,3.09,50%,1.5,40%,65%,0.1
12,Angela Hill,Ashley Yoder,Angela Hill,13,9,0,0,"5'3""",115,"64""",Orthodox,1/12/1985,5.66,50%,4.98,64%,0.45,36%,76%,0.1,8,7,0,0,"5'7""",115,"69""",Southpaw,10/20/1987,2.75,39%,3.53,46%,1.33,37%,68%,0.7
13,Charles Jourdain,Marcelo Rojo,Charles Jourdain,11,3,1,0,"5'9""",145,"69""",Switch,11/27/1995,4.79,45%,4.11,61%,0.0,0%,47%,0.7,16,8,0,0,"5'8""",145,"71""",Orthodox,7/02/1988,5.1,36%,7.3,51%,1.03,50%,100%,0.0
14,Rani Yahya,Ray Rodriguez,Rani Yahya,27,10,1,1,"5'6""",135,"67""",Orthodox,9/12/1984,1.57,37%,1.7,50%,2.89,33%,24%,2.0,16,8,0,0,"5'7""",135,"70""",Orthodox,12/10/1987,0.9,27%,3.89,40%,1.42,50%,44%,0.0
15,Nasrat Haqparast,Rafa Garcia,Nasrat Haqparast,13,3,0,0,"5'10""",155,"72""",Southpaw,8/22/1995,5.81,47%,3.23,74%,0.18,16%,84%,0.0,12,1,0,0,"5'7""",155,"70""",Orthodox,8/05/1994,3.47,23%,6.6,54%,0.0,0%,100%,0.0
16,Cortney Casey,JJ Aldrich,JJ Aldrich,9,9,0,0,"5'7""",125,"67""",Orthodox,5/05/1987,4.33,38%,4.19,52%,0.28,27%,38%,0.6,9,4,0,0,"5'5""",125,"67""",Southpaw,9/29/1992,3.76,41%,4.55,61%,0.8,40%,57%,0.0
17,Gloria de Paula,Jinh Yu Frey,Jinh Yu Frey,5,3,0,0,"5'5""",115,"67""",Orthodox,6/10/1995,3.33,54%,1.2,70%,0.0,0%,71%,1.0,10,6,0,0,"5'3""",115,"65""",Southpaw,5/20/1985,1.79,40%,3.35,44%,1.06,42%,83%,0.7
18,Matthew Semelsberger,Jason Witt,Matthew Semelsberger,8,2,0,0,"6'1""",170,"75""",Switch,11/23/1992,7.93,50%,5.31,56%,1.97,100%,100%,1.0,18,7,0,0,"5'10""",170,"70""",Orthodox,11/07/1986,3.16,65%,2.68,29%,3.65,50%,0%,1.8
19,Jan Blachowicz,Israel Adesanya,Jan Blachowicz,28,8,0,0,"6'2""",205,"78""",Orthodox,2/24/1983,3.59,49%,2.79,53%,1.18,53%,65%,0.2,20,1,0,0,"6'4""",185,"80""",Switch,7/22/1989,3.95,49%,2.63,61%,0.0,0%,82%,0.3
20,Amanda Nunes,Megan Anderson,Amanda Nunes,21,4,0,0,"5'8""",145,"69""",Orthodox,5/30/1988,4.5,51%,2.45,57%,2.5,53%,84%,0.9,11,5,0,0,"6'0""",145,"72""",Orthodox,2/11/1990,1.76,46%,3.35,37%,0.52,25%,53%,0.5
21,Petr Yan,Aljamain Sterling,Aljamain Sterling,15,2,0,0,"5'7""",135,"67""",Switch,2/11/1993,5.99,52%,3.55,62%,2.14,66%,90%,0.1,20,3,0,0,"5'7""",135,"71""",Orthodox,7/31/1989,4.84,49%,2.2,63%,1.77,24%,41%,0.9
22,Islam Makhachev,Drew Dober,Islam Makhachev,19,1,0,0,"5'10""",155,"70""",Southpaw,10/27/1991,2.0,56%,0.77,70%,3.46,68%,93%,1.0,23,10,0,1,"5'8""",155,"70""",Southpaw,10/19/1988,4.33,40%,3.87,54%,0.8,17%,55%,0.1
23,Thiago Santos,Aleksandar Rakic,Aleksandar Rakic,21,9,0,0,"6'2""",205,"76""",Orthodox,1/07/1984,4.27,48%,2.33,55%,0.7,38%,66%,0.1,14,2,0,0,"6'4""",205,"78""",Orthodox,2/06/1992,4.23,52%,2.23,52%,0.75,25%,90%,0.2
24,Dominick Cruz,Casey Kenney,Dominick Cruz,23,3,0,0,"5'8""",135,"68""",Orthodox,3/09/1985,3.65,32%,2.42,72%,2.99,46%,83%,0.1,16,3,1,0,"5'7""",140,"68""",Southpaw,3/20/1991,4.81,42%,4.3,59%,1.1,39%,59%,0.5
25,Song Yadong,Kyler Phillips,Kyler Phillips,16,5,1,1,"5'8""",145,"67""",Orthodox,12/02/1997,4.35,42%,3.64,57%,0.59,75%,56%,0.4,9,1,0,0,"5'8""",135,"72""",Orthodox,6/12/1995,5.32,46%,3.04,61%,2.88,63%,71%,0.4
26,Joseph Benavidez,Askar Askarov,Askar Askarov,28,8,0,0,"5'4""",125,"65""",Southpaw,7/31/1984,3.52,34%,2.67,61%,1.41,30%,62%,0.6,13,0,1,0,"5'6""",125,"67""",Orthodox,10/09/1992,3.37,55%,2.65,56%,2.75,28%,64%,0.0
27,Rogerio Bontorin,Kai Kara-France,Kai Kara-France,16,3,0,1,"5'5""",125,"67""",Orthodox,4/25/1992,2.19,50%,3.12,38%,1.9,40%,51%,1.6,22,9,0,1,"5'4""",125,"69""",Orthodox,3/26/1993,5.02,39%,3.84,66%,0.53,23%,86%,0.0
28,Tim Elliott,Jordan Espinosa,Tim Elliott,18,11,1,0,"5'7""",125,"66""",Southpaw,12/24/1986,3.35,45%,2.49,59%,4.01,49%,58%,1.1,15,9,0,1,"5'6""",125,"69""",Orthodox,11/08/1989,4.22,52%,2.94,57%,0.75,28%,70%,0.2
29,Kennedy Nzechukwu,Carlos Ulberg,Kennedy Nzechukwu,8,1,0,0,"6'5""",205,"83""",Southpaw,6/13/1992,5.38,43%,5.8,48%,0.0,0%,78%,0.0,5,1,0,0,"6'4""",205,"77""",Orthodox,11/07/1990,15.07,62%,8.6,47%,0.0,0%,100%,0.0
30,Sean Brady,Jake Matthews,Sean Brady,14,0,0,0,"5'10""",170,"72""",Orthodox,11/23/1992,4.72,55%,3.6,63%,2.69,60%,100%,1.2,17,5,0,0,"5'11""",170,"73""",Orthodox,8/19/1994,3.03,44%,2.16,61%,1.93,41%,66%,0.6
31,Livinha Souza,Amanda Lemos,Amanda Lemos,14,3,0,0,"5'3""",115,"63""",Orthodox,3/11/1991,2.06,45%,3.38,62%,2.4,44%,40%,1.2,9,1,1,0,"5'4""",115,"65""",Southpaw,5/22/1987,6.21,64%,5.39,45%,1.98,100%,100%,0.5
32,Uros Medic,Aalon Cruz,Uros Medic,7,0,0,0,"6'1""",155,"71""",Southpaw,4/25/1993,19.91,77%,0.52,86%,0.0,0%,100%,0.0,8,4,0,0,"6'0""",145,"78""",Switch,9/20/1989,7.58,39%,8.88,58%,0.0,0%,0%,0.0
33,Mario Bautista,Trevin Jones,Trevin Jones,8,2,0,0,"5'9""",135,"69""",Switch,7/01/1993,5.71,45%,4.78,54%,0.48,33%,70%,0.0,13,6,0,1,"5'7""",140,"70""",Southpaw,8/04/1990,3.84,61%,6.81,35%,1.17,20%,0%,0.0
34,Jairzinho Rozenstruik,Ciryl Gane,Ciryl Gane,11,2,0,0,"6'4""",242,"78""",Orthodox,3/17/1988,3.14,48%,3.48,39%,0.0,0%,80%,0.0,8,0,0,0,"6'4""",245,"81""",Orthodox,4/12/1990,5.04,55%,1.85,69%,1.13,26%,100%,0.5
35,Nikita Krylov,Magomed Ankalaev,Magomed Ankalaev,27,8,0,0,"6'3""",205,"77""",Orthodox,3/07/1992,4.33,56%,2.52,43%,1.34,33%,55%,1.3,15,1,0,0,"6'3""",205,"75""",Orthodox,6/02/1992,3.41,53%,1.78,65%,1.18,33%,85%,0.0
36,Montana De La Rosa,Mayra Bueno Silva,,11,6,1,0,"5'7""",125,"68""",Orthodox,2/14/1995,2.85,36%,3.39,45%,2.14,28%,57%,1.2,7,1,1,0,"5'6""",135,"66""",Orthodox,8/22/1991,4.06,57%,4.89,47%,0.0,0%,73%,1.6
37,Pedro Munhoz,Jimmie Rivera,Pedro Munhoz,19,5,0,1,"5'6""",135,"65""",Orthodox,9/07/1986,5.6,43%,5.87,58%,0.68,21%,80%,0.8,23,5,0,0,"5'4""",135,"68""",Orthodox,6/29/1989,4.03,40%,3.9,60%,0.88,27%,92%,0.1
38,Alex Caceres,Kevin Croom,Alex Caceres,18,12,0,1,"5'10""",145,"73""",Southpaw,6/20/1988,4.1,50%,2.82,65%,0.57,78%,64%,0.8,21,13,0,1,"5'11""",155,"73""",Orthodox,7/15/1987,1.35,36%,3.22,31%,0.97,6%,50%,1.0
39,Alexander Hernandez,Thiago Moises,Thiago Moises,12,4,0,0,"5'9""",155,"72""",Orthodox,10/01/1992,3.57,35%,3.81,59%,1.6,38%,62%,0.0,15,4,0,0,"5'9""",155,"70""",Orthodox,3/23/1995,2.85,37%,3.88,60%,1.06,33%,63%,1.2
40,Alexis Davis,Sabina Mazo,Alexis Davis,20,10,0,0,"5'6""",135,"68""",Orthodox,10/04/1984,4.18,47%,4.18,55%,0.94,40%,34%,0.8,9,2,0,0,"5'7""",135,"70""",Orthodox,3/25/1997,6.56,44%,3.91,60%,0.81,80%,66%,0.2
41,Vince Cachero,Ronnie Lawrence,Ronnie Lawrence,7,4,0,0,"5'6""",145,"68""",Orthodox,11/07/1989,3.29,45%,6.51,43%,0.0,0%,18%,0.5,7,1,0,0,"5'8""",135,"68""",Switch,6/13/1992,3.8,58%,1.09,61%,10.86,76%,100%,0.5
42,Dustin Jacoby,Maxim Grishin,Dustin Jacoby,14,5,0,0,"6'3""",205,"76""",Orthodox,4/04/1988,3.68,46%,2.94,61%,0.22,100%,70%,0.0,31,9,2,0,"6'3""",220,"78""",Orthodox,5/02/1984,2.95,44%,2.33,56%,0.38,33%,66%,0.0
43,Curtis Blaydes,Derrick Lewis,Derrick Lewis,14,3,0,1,"6'4""",265,"80""",Orthodox,2/18/1991,3.59,53%,1.7,57%,6.64,54%,33%,0.0,25,7,0,1,"6'3""",260,"79""",Orthodox,2/07/1985,2.59,50%,2.16,44%,0.52,26%,54%,0.0
44,Ketlen Vieira,Yana Kunitskaya,Yana Kunitskaya,11,2,0,0,"5'8""",135,"68""",Orthodox,8/26/1991,2.66,36%,3.84,53%,2.19,48%,92%,0.5,14,5,0,1,"5'6""",135,"68""",Orthodox,11/11/1989,4.22,57%,2.62,51%,1.62,53%,50%,0.2
45,Charles Rosa,Darrick Minner,Darrick Minner,13,5,0,0,"5'9""",145,"69""",Switch,8/24/1986,3.11,37%,3.78,48%,1.76,32%,40%,1.0,26,11,0,0,"5'7""",145,"69""",Orthodox,4/28/1990,3.24,70%,1.4,43%,3.0,62%,60%,3.6
46,Aleksei Oleinik,Chris Daukaus,Chris Daukaus,59,15,1,0,"6'2""",240,"80""",Orthodox,6/20/1977,3.47,50%,3.85,44%,2.38,46%,33%,2.4,11,3,0,0,"6'3""",250,"76""",Orthodox,9/25/1989,11.78,61%,3.22,65%,0.0,0%,100%,0.0
47,Phil Hawes,Nassourdine Imavov,Phil Hawes,10,2,0,0,"6'0""",185,"77""",Orthodox,1/08/1989,2.84,52%,4.18,47%,3.13,35%,0%,0.0,9,3,0,0,"6'3""",185,"75""",Orthodox,3/01/1995,4.17,61%,2.03,59%,0.5,12%,60%,2.0
48,Andrei Arlovski,Tom Aspinall,Tom Aspinall,30,20,0,2,"6'3""",240,"77""",Orthodox,2/04/1979,3.48,44%,2.83,57%,0.47,36%,78%,0.3,10,2,0,0,"6'5""",256,"78""",Orthodox,4/11/1993,7.43,66%,3.06,65%,3.54,100%,0%,1.8
49,Jared Gordon,Danny Chavez,Jared Gordon,17,4,0,0,"5'9""",145,"68""",Orthodox,9/06/1988,5.54,56%,3.22,60%,2.81,39%,55%,0.0,11,4,0,0,"5'8""",145,"67""",Orthodox,3/14/1987,2.93,39%,4.17,53%,2.5,100%,84%,0.0
50,Eddie Wineland,John Castaneda,John Castaneda,24,15,1,0,"5'7""",135,"69""",Orthodox,6/26/1984,3.4,29%,3.66,69%,0.34,33%,86%,0.1,18,5,0,0,"5'6""",135,"71""",Switch,12/18/1991,4.17,49%,5.07,55%,0.86,25%,60%,0.0
51,Nate Landwehr,Julian Erosa,Julian Erosa,14,4,0,0,"5'9""",145,"72""",Orthodox,6/06/1988,7.02,50%,7.67,51%,0.0,0%,85%,0.0,25,9,0,0,"6'1""",145,"74""",Southpaw,7/31/1989,5.07,47%,5.72,50%,1.32,54%,58%,0.9
52,Aiemann Zahabi,Drako Rodriguez,Aiemann Zahabi,8,2,0,0,"5'8""",135,"68""",Orthodox,11/19/1987,2.82,40%,3.91,65%,0.33,16%,72%,0.0,7,2,0,0,"5'8""",135,"69""",Orthodox,6/16/1996,2.57,35%,2.57,26%,2.75,100%,0%,2.8
53,Serghei Spivac,Jared Vanderaa,Serghei Spivac,12,2,0,0,"6'3""",260,"78""",Orthodox,1/24/1995,3.58,49%,2.84,58%,3.7,63%,75%,0.3,11,5,0,0,"6'4""",260,"80""",Orthodox,5/12/1992,2.75,52%,5.19,33%,1.15,100%,0%,0.0
54,Kamaru Usman,Gilbert Burns,Kamaru Usman,18,1,0,0,"6'0""",170,"76""",Switch,5/11/1987,4.66,54%,2.33,58%,3.22,47%,100%,0.1,19,4,0,0,"5'10""",170,"71""",Orthodox,7/20/1986,3.22,45%,3.04,54%,2.08,35%,50%,0.7
55,Maycee Barber,Alexa Grasso,Alexa Grasso,8,2,0,0,"5'5""",125,"65""",Switch,5/18/1998,5.21,52%,3.0,50%,1.44,40%,80%,0.2,13,3,0,0,"5'5""",125,"66""",Orthodox,8/09/1993,4.96,43%,3.61,64%,0.28,40%,60%,0.6
56,Kelvin Gastelum,Ian Heinisch,Kelvin Gastelum,17,6,0,1,"5'9""",185,"71""",Southpaw,10/24/1991,3.64,43%,2.92,59%,1.22,39%,64%,0.1,14,4,0,0,"5'11""",185,"72""",Orthodox,8/05/1988,3.28,50%,2.79,58%,1.13,18%,60%,0.8
57,Ricky Simon,Brian Kelleher,Ricky Simon,18,3,0,0,"5'6""",135,"69""",Orthodox,8/31/1992,3.08,42%,3.13,64%,6.93,54%,72%,0.4,22,12,0,0,"5'6""",145,"66""",Switch,8/19/1986,3.92,39%,5.47,53%,1.0,25%,59%,0.7
58,Maki Pitolo,Julian Marquez,Julian Marquez,13,8,0,0,"5'10""",185,"75""",Orthodox,11/24/1990,4.2,44%,3.71,56%,2.42,52%,55%,0.5,8,2,0,0,"6'2""",185,"72""",Orthodox,5/08/1990,3.5,40%,2.98,52%,0.0,0%,53%,3.4
59,Rodolfo Vieira,Anthony Hernandez,Anthony Hernandez,7,1,0,0,"6'0""",185,"73""",Orthodox,9/25/1989,1.66,42%,3.06,42%,7.0,47%,0%,1.6,8,2,0,1,"6'0""",185,"75""",Orthodox,10/18/1993,4.92,55%,5.09,47%,3.76,66%,70%,1.9
60,Belal Muhammad,Dhiego Lima,Belal Muhammad,18,3,0,1,"5'11""",170,"72""",Orthodox,7/09/1988,4.75,43%,4.02,60%,1.97,28%,85%,0.2,17,8,0,0,"6'2""",170,"75""",Orthodox,1/31/1989,3.14,38%,3.93,59%,1.38,42%,73%,0.7
61,Polyana Viana,Mallory Martin,Polyana Viana,12,4,0,0,"5'5""",115,"67""",Orthodox,6/14/1992,3.71,41%,3.01,54%,1.12,33%,50%,3.4,7,4,0,0,"5'4""",115,"63""",Orthodox,1/29/1994,3.99,59%,5.53,58%,3.37,63%,25%,0.5
62,Andre Ewell,Chris Gutierrez,Chris Gutierrez,17,7,0,0,"5'8""",135,"75""",Southpaw,1/21/1988,4.42,41%,4.25,52%,0.29,66%,70%,0.1,16,3,2,0,"5'9""",145,"67""",Orthodox,4/22/1991,4.3,57%,2.45,59%,0.57,60%,73%,0.2
63,Gabe Green,Philip Rowe,Gabe Green,10,3,0,0,"5'10""",170,"73""",Switch,5/02/1993,6.57,46%,7.23,49%,1.0,100%,57%,0.5,7,3,0,0,"6'3""",170,"80""",Orthodox,7/18/1990,4.99,60%,5.34,51%,1.19,33%,25%,0.0
64,Alistair Overeem,Alexander Volkov,Alexander Volkov,47,19,0,1,"6'4""",265,"80""",Orthodox,5/17/1980,3.67,64%,2.44,57%,1.42,55%,73%,0.8,33,8,0,0,"6'7""",250,"80""",Orthodox,10/24/1988,4.88,59%,2.48,56%,0.66,70%,66%,0.2
65,Cory Sandhagen,Frankie Edgar,Cory Sandhagen,14,2,0,0,"5'11""",135,"70""",Switch,4/20/1992,6.85,48%,3.89,59%,1.07,50%,30%,0.5,23,9,1,0,"5'6""",135,"68""",Orthodox,10/16/1981,3.7,39%,2.71,66%,2.28,31%,65%,0.3
66,Michael Johnson,Clay Guida,Clay Guida,20,17,0,0,"5'10""",155,"73""",Southpaw,6/04/1986,4.21,38%,3.82,58%,0.49,45%,77%,0.1,36,17,0,0,"5'7""",155,"70""",Orthodox,12/08/1981,2.44,34%,2.57,63%,3.36,38%,68%,0.7
67,Alexandre Pantoja,Manel Kape,Alexandre Pantoja,23,5,0,0,"5'5""",125,"67""",Orthodox,4/16/1990,4.3,47%,3.39,53%,0.94,35%,68%,0.9,15,6,0,0,"5'5""",125,"68""",Southpaw,11/14/1993,3.67,45%,4.3,48%,1.0,28%,80%,0.0
68,Diego Ferreira,Beneil Dariush,Beneil Dariush,17,3,0,0,"5'9""",155,"74""",Orthodox,1/18/1985,4.85,37%,3.26,58%,0.89,26%,68%,0.9,20,4,1,0,"5'10""",155,"72""",Southpaw,5/06/1989,4.0,49%,2.72,59%,2.03,32%,81%,1.0
69,Mike Rodriguez,Danilo Marques,Danilo Marques,11,6,0,1,"6'4""",205,"82""",Southpaw,11/28/1988,4.61,59%,3.39,40%,0.0,0%,41%,0.0,11,2,0,0,"6'6""",205,"77""",Orthodox,12/26/1985,1.81,88%,1.41,50%,4.83,34%,0%,1.2
70,Devonte Smith,Justin Jaynes,Devonte Smith,11,2,0,0,"5'9""",155,"76""",Orthodox,7/30/1993,5.64,55%,2.65,59%,0.74,100%,100%,0.7,16,7,0,0,"5'7""",155,"68""",Orthodox,8/10/1989,3.58,42%,6.49,58%,0.0,0%,33%,0.6
71,Karol Rosa,Joselyne Edwards,Karol Rosa,14,3,0,0,"5'5""",135,"67""",Orthodox,12/30/1994,7.73,52%,5.51,48%,2.0,60%,90%,0.0,10,3,0,0,"5'8""",135,"70""",Orthodox,9/29/1995,4.2,53%,3.83,46%,0.5,16%,37%,0.5
72,Molly McCann,Lara Procopio,Lara Procopio,10,4,0,0,"5'4""",125,"62""",Orthodox,5/04/1990,5.15,50%,4.28,65%,1.64,29%,28%,0.7,7,1,0,0,"5'4""",125,"67""",Orthodox,11/14/1995,6.7,57%,6.93,47%,3.5,50%,0%,0.5
73,SeungWoo Choi,Youssef Zalal,SeungWoo Choi,9,3,0,0,"6'0""",145,"74""",Orthodox,11/03/1992,3.17,41%,2.45,46%,1.03,57%,66%,0.0,10,4,0,0,"5'10""",145,"72""",Switch,9/04/1996,2.45,51%,1.56,64%,2.4,40%,56%,1.4
74,Timur Valiev,Martin Day,Timur Valiev,17,2,0,1,"5'6""",145,"67""",Orthodox,1/19/1990,5.5,71%,1.55,56%,2.73,66%,50%,0.0,8,6,0,0,"5'10""",145,"73""",Orthodox,11/10/1988,3.97,45%,3.79,53%,0.72,60%,65%,0.5
75,Ode Osbourne,Jerome Rivera,Ode Osbourne,9,3,0,1,"5'7""",145,"73""",Southpaw,1/09/1992,4.3,54%,3.04,42%,1.9,100%,66%,1.9,10,5,0,0,"5'10""",145,"72""",Southpaw,4/22/1995,3.08,34%,2.47,51%,0.0,0%,40%,0.0
76,Dustin Poirier,Conor McGregor,Dustin Poirier,27,6,0,1,"5'9""",155,"72""",Southpaw,1/19/1989,5.59,50%,4.17,54%,1.47,36%,61%,1.3,22,5,0,0,"5'9""",155,"74""",Southpaw,7/14/1988,5.32,49%,4.54,54%,0.7,55%,67%,0.0
77,Dan Hooker,Michael Chandler,Michael Chandler,20,10,0,0,"6'0""",155,"75""",Switch,2/13/1990,4.95,48%,4.92,51%,0.72,34%,79%,0.3,22,5,0,0,"5'8""",155,"71""",Orthodox,4/24/1986,4.29,49%,3.76,52%,2.37,41%,80%,1.4
78,Jessica Eye,Joanne Calderwood,Joanne Calderwood,15,9,0,1,"5'6""",125,"66""",Orthodox,7/27/1986,3.76,37%,4.01,55%,0.45,40%,57%,0.5,15,5,0,0,"5'6""",125,"65""",Orthodox,12/23/1985,6.59,49%,4.4,53%,1.8,55%,58%,0.5
79,Andrew Sanchez,Makhmud Muradov,Makhmud Muradov,13,6,0,0,"6'1""",185,"74""",Orthodox,4/08/1988,4.48,42%,5.05,51%,1.92,31%,100%,0.0,25,6,0,0,"6'2""",185,"75""",Orthodox,2/08/1990,5.32,42%,2.92,64%,0.36,16%,100%,0.4
80,Marina Rodriguez,Amanda Ribas,Marina Rodriguez,13,1,2,0,"5'6""",115,"65""",Orthodox,4/29/1987,4.86,50%,3.16,53%,0.36,33%,59%,0.2,10,2,0,0,"5'3""",125,"66""",Orthodox,8/26/1993,4.25,44%,1.78,71%,2.31,58%,85%,1.6
81,Arman Tsarukyan,Matt Frevola,Arman Tsarukyan,16,2,0,0,"5'7""",155,"72""",Orthodox,10/11/1996,3.35,44%,1.43,62%,3.5,35%,78%,0.0,8,2,1,0,"5'9""",155,"71""",Orthodox,6/11/1990,2.73,37%,3.44,58%,2.59,37%,40%,1.1
82,Brad Tavares,Antonio Carlos Junior,Brad Tavares,18,7,0,0,"6'1""",185,"74""",Orthodox,12/21/1987,3.04,41%,2.73,56%,0.97,27%,79%,0.0,11,5,0,1,"6'2""",185,"79""",Orthodox,3/16/1990,1.95,42%,2.14,52%,3.42,39%,53%,0.8
83,Julianna Pena,Sara McMann,Julianna Pena,11,4,0,0,"5'6""",135,"69""",Orthodox,8/19/1989,2.8,47%,1.7,53%,2.49,53%,23%,0.8,12,6,0,0,"5'6""",135,"66""",Orthodox,9/24/1980,2.32,45%,1.94,48%,4.41,65%,50%,0.5
84,Khalil Rountree Jr.,Marcin Prachnio,Marcin Prachnio,9,5,0,1,"6'1""",205,"76""",Southpaw,2/26/1990,3.06,38%,3.63,49%,0.0,0%,50%,0.2,14,5,0,0,"6'3""",205,"74""",Orthodox,7/14/1988,5.4,47%,3.71,58%,0.0,0%,0%,0.0
85,Nik Lentz,Movsar Evloev,Movsar Evloev,30,12,2,1,"5'8""",145,"68""",Orthodox,8/13/1984,3.44,47%,3.25,50%,3.3,32%,43%,1.2,14,0,0,0,"5'7""",145,"72""",Orthodox,2/11/1994,4.7,44%,2.83,64%,2.75,37%,70%,0.0
86,Amir Albazi,Zhalgas Zhumagulov,Amir Albazi,14,1,0,0,"5'5""",125,"68""",Orthodox,10/27/1993,4.06,40%,3.15,58%,2.28,75%,66%,0.8,13,5,0,0,"5'4""",125,"66""",Switch,8/29/1988,4.17,49%,4.0,58%,1.5,21%,33%,0.0
87,Michael Chiesa,Neil Magny,Michael Chiesa,18,4,0,0,"6'1""",170,"75""",Southpaw,12/07/1987,1.89,40%,1.71,54%,3.6,52%,68%,0.9,24,9,0,0,"6'3""",170,"80""",Orthodox,8/03/1987,3.67,47%,2.05,56%,2.46,45%,57%,0.3
88,Warlley Alves,Mounir Lazzez,Warlley Alves,15,4,0,0,"5'11""",170,"72""",Orthodox,1/04/1991,3.09,47%,3.62,50%,1.48,54%,75%,1.0,10,2,0,0,"6'1""",170,"76""",Orthodox,11/16/1987,5.69,55%,4.78,45%,3.41,100%,60%,0.0
89,Ike Villanueva,Vinicius Moreira,Ike Villanueva,17,11,0,0,"6'1""",225,"73""",Orthodox,4/04/1984,3.62,40%,6.93,37%,0.0,0%,0%,0.0,9,5,0,0,"6'4""",205,"76""",Orthodox,2/28/1989,3.15,59%,5.07,43%,1.97,18%,0%,1.3
90,Roxanne Modafferi,Viviane Araujo,Viviane Araujo,25,19,0,0,"5'7""",125,"69""",Orthodox,9/24/1982,3.13,30%,5.03,53%,1.42,23%,30%,0.1,10,2,0,0,"5'4""",125,"68""",Orthodox,11/21/1986,4.97,48%,4.84,60%,2.33,64%,94%,0.2
