,fighter_r,fighter_b,winner,total_wins_r,total_losses_r,total_draws_r,total_nc_r,height_r,weight_r,reach_r,stance_r,dob_r,slpm_r,str_acc_r,sapm_r,str_def_r,td_avg_r,td_acc_r,td_def_r,sub_avg_r,total_wins_b,total_losses_b,total_draws_b,total_nc_b,height_b,weight_b,reach_b,stance_b,dob_b,slpm_b,str_acc_b,sapm_b,str_def_b,td_avg_b,td_acc_b,td_def_b,sub_avg_b
2649,Henry Cejudo,Chico Camus,Henry Cejudo,16,2,0,0,"5'4""",135,"64""",Orthodox,2/09/1987,3.92,45%,2.77,65%,2.12,33%,93%,0.2,17,7,0,1,"5'6""",125,"66""",Orthodox,1/26/1985,2.58,41%,2.46,64%,0.77,40%,72%,0.4
2650,Efrain Escudero,Drew Dober,Efrain Escudero,28,12,0,0,"5'9""",155,"71""",Orthodox,1/15/1986,2.92,44%,2.3,63%,1.31,40%,66%,0.8,23,10,0,1,"5'8""",155,"70""",Southpaw,10/19/1988,4.33,40%,3.87,54%,0.8,17%,55%,0.1
2651,Alejandro Perez,Patrick Williams,Patrick Williams,22,8,1,0,"5'6""",145,"67""",Orthodox,9/02/1989,3.52,35%,2.94,64%,0.52,20%,73%,0.1,8,6,0,0,"5'8""",135,"73""",Orthodox,9/07/1981,4.12,51%,4.12,52%,2.71,41%,100%,0.5
2652,Francisco Trevino,Johnny Case,Johnny Case,13,3,0,0,"5'9""",155,"70""",Orthodox,12/17/1981,2.65,42%,2.42,64%,0.97,22%,41%,0.0,22,6,0,0,"5'10""",155,"72""",Orthodox,6/28/1989,3.95,38%,2.66,61%,1.7,45%,72%,0.2
2653,Augusto Montano,Cathal Pendred,Cathal Pendred,15,3,0,0,"6'1""",170,"73""",Orthodox,10/25/1984,3.46,46%,2.66,56%,0.0,0%,66%,0.0,17,4,1,0,"6'1""",170,"75""",Orthodox,9/02/1987,2.49,44%,3.01,55%,2.46,23%,83%,0.4
2654,Gabriel Benitez,Clay Collard,Gabriel Benitez,22,9,0,0,"5'8""",155,"71""",Southpaw,6/15/1988,4.38,38%,3.26,70%,0.17,50%,56%,1.2,14,7,0,1,"5'11""",145,"73""",Orthodox,3/10/1993,4.22,32%,5.0,50%,2.81,39%,71%,0.5
2655,Tim Boetsch,Dan Henderson,Dan Henderson,21,13,0,0,"6'0""",185,"74""",Orthodox,1/28/1981,2.93,50%,2.9,57%,1.45,34%,59%,0.8,32,15,0,0,"5'11""",185,"74""",Orthodox,8/24/1970,2.44,47%,2.7,51%,1.52,52%,57%,0.3
2656,Ben Rothwell,Matt Mitrione,Ben Rothwell,38,13,0,0,"6'4""",265,"78""",Orthodox,10/17/1981,3.55,41%,4.57,46%,0.63,33%,69%,0.3,12,5,0,0,"6'3""",265,"82""",Switch,7/15/1978,3.55,50%,2.79,64%,0.0,0%,55%,0.7
2657,Dustin Poirier,Yancy Medeiros,Dustin Poirier,27,6,0,1,"5'9""",155,"72""",Southpaw,1/19/1989,5.59,50%,4.17,54%,1.47,36%,61%,1.3,15,7,0,1,"5'10""",155,"75""",Orthodox,9/07/1987,4.05,35%,5.38,46%,0.12,25%,76%,0.5
2658,Thiago Tavares,Brian Ortega,Brian Ortega,21,7,1,0,"5'7""",145,"70""",Orthodox,11/08/1984,2.0,40%,2.31,62%,3.83,42%,62%,1.5,15,1,0,1,"5'8""",145,"69""",Switch,2/21/1991,4.29,38%,6.28,52%,0.8,21%,56%,1.1
2659,Joe Soto,Anthony Birchak,Anthony Birchak,18,7,0,0,"5'6""",135,"65""",Orthodox,3/22/1987,3.36,41%,5.37,67%,0.85,21%,70%,1.9,16,7,0,0,"5'8""",135,"69""",Orthodox,5/16/1986,4.23,36%,3.06,60%,0.6,16%,73%,0.0
2660,Francisco Rivera,Alex Caceres,Francisco Rivera,11,7,0,1,"5'8""",135,"70""",Orthodox,10/08/1981,4.07,41%,3.16,68%,1.01,63%,68%,0.6,18,12,0,1,"5'10""",145,"73""",Southpaw,6/20/1988,4.1,50%,2.82,65%,0.57,78%,64%,0.8
2661,Shawn Jordan,Derrick Lewis,Shawn Jordan,19,8,0,0,"6'0""",260,"75""",Southpaw,10/21/1984,2.87,50%,3.3,47%,1.97,38%,76%,0.1,25,7,0,1,"6'3""",260,"79""",Orthodox,2/07/1985,2.59,50%,2.16,44%,0.52,26%,54%,0.0
2662,Brian Ebersole,Omari Akhmedov,Omari Akhmedov,51,18,1,1,"6'0""",170,"73""",Southpaw,11/27/1980,2.32,49%,2.14,56%,1.7,23%,61%,0.1,21,5,1,0,"6'0""",185,"73""",Orthodox,10/12/1987,2.95,35%,2.59,57%,2.63,49%,65%,0.3
2663,Chris Wade,Christos Giagos,Chris Wade,12,3,0,0,"5'10""",155,"70""",Orthodox,9/30/1987,1.7,53%,1.75,51%,2.6,51%,55%,1.1,18,8,0,0,"5'10""",155,"71""",Orthodox,1/23/1990,2.88,41%,2.59,51%,3.11,39%,50%,0.3
2664,Joe Proctor,Justin Edwards,Joe Proctor,11,5,0,0,"5'10""",155,"72""",Orthodox,8/10/1985,3.39,36%,3.93,59%,0.0,0%,70%,1.8,9,5,0,0,"5'10""",155,"70""",Orthodox,1/26/1983,2.68,42%,3.32,51%,2.14,26%,27%,1.0
