,fight_id,fight_date,event_name,location
47,bc86601cf781a89c,2/27/2021,UFC Fight Night: Rozenstruik vs. Gane,"Las Vegas, Nevada, USA"
48,b12bc15f384ecc42,2/20/2021,UFC Fight Night: Blaydes vs. Lewis,"Las Vegas, Nevada, USA"
49,a4814d682954e8ab,2/20/2021,UFC Fight Night: Blaydes vs. Lewis,"Las Vegas, Nevada, USA"
50,82243207b4dfce87,2/20/2021,UFC Fight Night: Blaydes vs. Lewis,"Las Vegas, Nevada, USA"
51,8f7328fe18806fb0,2/20/2021,UFC Fight Night: Blaydes vs. Lewis,"Las Vegas, Nevada, USA"
52,05ceb8b2f93993a6,2/20/2021,UFC Fight Night: Blaydes vs. Lewis,"Las Vegas, Nevada, USA"
53,15b1c7ddc4415fdd,2/20/2021,UFC Fight Night: Blaydes vs. Lewis,"Las Vegas, Nevada, USA"
54,931fd51ab69fb443,2/20/2021,UFC Fight Night: Blaydes vs. Lewis,"Las Vegas, Nevada, USA"
55,990c2378caec68d4,2/20/2021,UFC Fight Night: Blaydes vs. Lewis,"Las Vegas, Nevada, USA"
56,e175c1a0bff30187,2/20/2021,UFC Fight Night: Blaydes vs. Lewis,"Las Vegas, Nevada, USA"
57,1d892fec31dc7ad7,2/20/2021,UFC Fight Night: Blaydes vs. Lewis,"Las Vegas, Nevada, USA"
58,b9cd4910f0ecff45,2/20/2021,UFC Fight Night: Blaydes vs. Lewis,"Las Vegas, Nevada, USA"
59,c3b6aa47e7532a7b,2/20/2021,UFC Fight Night: Blaydes vs. Lewis,"Las Vegas, Nevada, USA"
60,be94e5b7a35ce5f2,2/13/2021,UFC 258: Usman vs. Burns,"Las Vegas, Nevada, USA"
61,25b8c932da5e91f4,2/13/2021,UFC 258: Usman vs. Burns,"Las Vegas, Nevada, USA"
62,26fbf026beb8e9f8,2/13/2021,UFC 258: Usman vs. Burns,"Las Vegas, Nevada, USA"
63,54e2490959f66dc2,2/13/2021,UFC 258: Usman vs. Burns,"Las Vegas, Nevada, USA"
64,9201312dd860fa5a,2/13/2021,UFC 258: Usman vs. Burns,"Las Vegas, Nevada, USA"
65,96b1430379c0694a,2/13/2021,UFC 258: Usman vs. Burns,"Las Vegas, Nevada, USA"
66,8cf076524cad5a55,2/13/2021,UFC 258: Usman vs. Burns,"Las Vegas, Nevada, USA"
67,17616514e8fdacb9,2/13/2021,UFC 258: Usman vs. Burns,"Las Vegas, Nevada, USA"
68,f98e954823bd6e02,2/13/2021,UFC 258: Usman vs. Burns,"Las Vegas, Nevada, USA"
69,357c5b86ec83b826,2/13/2021,UFC 258: Usman vs. Burns,"Las Vegas, Nevada, USA"
70,8b9bdacca749ec90,2/06/2021,UFC Fight Night: Overeem vs. Volkov,"Las Vegas, Nevada, USA"
71,9ef858837dfc65eb,2/06/2021,UFC Fight Night: Overeem vs. Volkov,"Las Vegas, Nevada, USA"
72,f4fbb11055301e75,2/06/2021,UFC Fight Night: Overeem vs. Volkov,"Las Vegas, Nevada, USA"
73,2c81668d1459991f,2/06/2021,UFC Fight Night: Overeem vs. Volkov,"Las Vegas, Nevada, USA"
74,bbade63ca780668f,2/06/2021,UFC Fight Night: Overeem vs. Volkov,"Las Vegas, Nevada, USA"
75,af8ea6db042674ef,2/06/2021,UFC Fight Night: Overeem vs. Volkov,"Las Vegas, Nevada, USA"
76,464cc19d42446da9,2/06/2021,UFC Fight Night: Overeem vs. Volkov,"Las Vegas, Nevada, USA"
77,8c34e1e0d842618d,2/06/2021,UFC Fight Night: Overeem vs. Volkov,"Las Vegas, Nevada, USA"
78,d65da3a3bc675449,2/06/2021,UFC Fight Night: Overeem vs. Volkov,"Las Vegas, Nevada, USA"
79,86d6e09932c5b551,2/06/2021,UFC Fight Night: Overeem vs. Volkov,"Las Vegas, Nevada, USA"
80,eb4e9ec015533ab4,2/06/2021,UFC Fight Night: Overeem vs. Volkov,"Las Vegas, Nevada, USA"
81,3ac61bcb406e1a0c,2/06/2021,UFC Fight Night: Overeem vs. Volkov,"Las Vegas, Nevada, USA"
82,3d3e7dc7b4bf2bc4,1/23/2021,UFC 257: Poirier vs. McGregor,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
83,a5075f4eaee6036f,1/23/2021,UFC 257: Poirier vs. McGregor,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
84,c4ea3f6fae702459,1/23/2021,UFC 257: Poirier vs. McGregor,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
85,65352221c0bfe52d,1/23/2021,UFC 257: Poirier vs. McGregor,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
86,cd08b68f0bafafbf,1/23/2021,UFC 257: Poirier vs. McGregor,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
87,99dbe9669f31ed91,1/23/2021,UFC 257: Poirier vs. McGregor,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
88,92f569a6d9374b86,1/23/2021,UFC 257: Poirier vs. McGregor,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
89,83da743f6dda7dcc,1/23/2021,UFC 257: Poirier vs. McGregor,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
90,c597fd8bb66d54d8,1/23/2021,UFC 257: Poirier vs. McGregor,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
91,f3ccbfd7036f3cf3,1/23/2021,UFC 257: Poirier vs. McGregor,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
92,aaf45b095452be23,1/23/2021,UFC 257: Poirier vs. McGregor,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
93,61bedad39b15db7a,1/20/2021,UFC Fight Night: Chiesa vs. Magny,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
94,dd34dd337e637767,1/20/2021,UFC Fight Night: Chiesa vs. Magny,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
95,4f6d3cdf2c77fb57,1/20/2021,UFC Fight Night: Chiesa vs. Magny,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
96,a003e8305d4dbdc8,1/20/2021,UFC Fight Night: Chiesa vs. Magny,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
97,57e784028ef2c17d,1/20/2021,UFC Fight Night: Chiesa vs. Magny,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
98,d27ac1bc677b89cf,1/20/2021,UFC Fight Night: Chiesa vs. Magny,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
99,ac475de5a3d0d7e2,1/20/2021,UFC Fight Night: Chiesa vs. Magny,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
100,4abcf14faa7f92f2,1/20/2021,UFC Fight Night: Chiesa vs. Magny,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
101,ddbe6fd66d7f9e35,1/20/2021,UFC Fight Night: Chiesa vs. Magny,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
102,76b61ff4c9760f79,1/20/2021,UFC Fight Night: Chiesa vs. Magny,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
103,4e451881e0e47b05,1/20/2021,UFC Fight Night: Chiesa vs. Magny,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
104,031e6624f96aceb8,1/20/2021,UFC Fight Night: Chiesa vs. Magny,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
105,11558384f80f6506,1/20/2021,UFC Fight Night: Chiesa vs. Magny,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
106,ae38fb2a6b6a0cc1,1/20/2021,UFC Fight Night: Chiesa vs. Magny,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
107,a4817b7e46028b4a,1/16/2021,UFC Fight Night: Holloway vs. Kattar,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
108,6b0da0b1cda7799f,1/16/2021,UFC Fight Night: Holloway vs. Kattar,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
109,aeb7ff8ce6e1beac,1/16/2021,UFC Fight Night: Holloway vs. Kattar,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
110,775c1f401815bbd8,1/16/2021,UFC Fight Night: Holloway vs. Kattar,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
111,358f816aff469270,1/16/2021,UFC Fight Night: Holloway vs. Kattar,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
112,97ad63e644757cf4,1/16/2021,UFC Fight Night: Holloway vs. Kattar,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
113,0165bd3c26f0c076,1/16/2021,UFC Fight Night: Holloway vs. Kattar,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
114,3fcd53eb27945231,1/16/2021,UFC Fight Night: Holloway vs. Kattar,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
115,97c80f69ac312030,1/16/2021,UFC Fight Night: Holloway vs. Kattar,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
116,3d903bc35023f50a,1/16/2021,UFC Fight Night: Holloway vs. Kattar,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
117,c7375d5db21cbaae,12/19/2020,UFC Fight Night: Thompson vs. Neal,"Las Vegas, Nevada, USA"
118,014f1da2083ca174,12/19/2020,UFC Fight Night: Thompson vs. Neal,"Las Vegas, Nevada, USA"
119,3d35eb2d46bf74de,12/19/2020,UFC Fight Night: Thompson vs. Neal,"Las Vegas, Nevada, USA"
120,8955ea3c7c332e6c,12/19/2020,UFC Fight Night: Thompson vs. Neal,"Las Vegas, Nevada, USA"
121,cd150cd28738a7c5,12/19/2020,UFC Fight Night: Thompson vs. Neal,"Las Vegas, Nevada, USA"
122,1c4602efe5587902,12/19/2020,UFC Fight Night: Thompson vs. Neal,"Las Vegas, Nevada, USA"
123,4cb249714ff56656,12/19/2020,UFC Fight Night: Thompson vs. Neal,"Las Vegas, Nevada, USA"
124,f004d3d50b78af50,12/19/2020,UFC Fight Night: Thompson vs. Neal,"Las Vegas, Nevada, USA"
125,f2fb049980631302,12/19/2020,UFC Fight Night: Thompson vs. Neal,"Las Vegas, Nevada, USA"
126,0fe4906754b2d0f9,12/19/2020,UFC Fight Night: Thompson vs. Neal,"Las Vegas, Nevada, USA"
127,62e6eadbb2805760,12/19/2020,UFC Fight Night: Thompson vs. Neal,"Las Vegas, Nevada, USA"
128,8da75fd76a9b8e1d,12/19/2020,UFC Fight Night: Thompson vs. Neal,"Las Vegas, Nevada, USA"
129,c258996570faeec9,12/12/2020,UFC 256: Figueiredo vs. Moreno,"Las Vegas, Nevada, USA"
130,b7b867eb3c3cf163,12/12/2020,UFC 256: Figueiredo vs. Moreno,"Las Vegas, Nevada, USA"
131,27200d53ba9020b8,12/12/2020,UFC 256: Figueiredo vs. Moreno,"Las Vegas, Nevada, USA"
132,4a172a5191cb8e60,12/12/2020,UFC 256: Figueiredo vs. Moreno,"Las Vegas, Nevada, USA"
133,fe3ff5b1d9135add,12/12/2020,UFC 256: Figueiredo vs. Moreno,"Las Vegas, Nevada, USA"
134,022bdd58cc6e571d,12/12/2020,UFC 256: Figueiredo vs. Moreno,"Las Vegas, Nevada, USA"
135,cb7616f92a9a4e5b,12/12/2020,UFC 256: Figueiredo vs. Moreno,"Las Vegas, Nevada, USA"
136,87d0b767742d3239,12/12/2020,UFC 256: Figueiredo vs. Moreno,"Las Vegas, Nevada, USA"
137,5ddf45e816a50fac,12/12/2020,UFC 256: Figueiredo vs. Moreno,"Las Vegas, Nevada, USA"
138,33d52ac2d70b8415,12/12/2020,UFC 256: Figueiredo vs. Moreno,"Las Vegas, Nevada, USA"
139,2723f4d275d3f619,12/05/2020,UFC Fight Night: Hermansson vs. Vettori,"Las Vegas, Nevada, USA"
140,8d4a475e48722fea,12/05/2020,UFC Fight Night: Hermansson vs. Vettori,"Las Vegas, Nevada, USA"
141,46860358da8b8d82,12/05/2020,UFC Fight Night: Hermansson vs. Vettori,"Las Vegas, Nevada, USA"
142,4478ee77a647ae9d,12/05/2020,UFC Fight Night: Hermansson vs. Vettori,"Las Vegas, Nevada, USA"
