,Unnamed: 0,fighter_name,id
7717,7718,Andrew Craig,8a70ceb3edbe757b
4139,4140,Andrew Holbrook,66ab58d0b3783607
1821,1822,Andrew Sanchez,fccf811c1e8b01c7
11979,11980,Andy Anderson,9199e0735b83dd32
5879,5880,Andy Enz,993d385f5a475375
6851,6852,Andy Ogle,b6c4451cb13c9303
10523,10524,Andy Wang,476414d2f18cd059
1025,1026,Angela Hill,f0feeb2192937424
3191,3192,Angela Magana,bd878a638e0e3be3
8064,8065,Anistavio Medeiros,2937cb502dda0808
4713,4714,Anna Elmose,1536a25e16fc299b
11019,11020,Ansar Chalangov,7342fcc41a4817fa
4594,4595,Anthony Birchak,c5a126ace82a6025
5332,5333,Anthony Christodoulou,4f11e9ce318ffbcb
4480,4481,Anthony Hamilton,c727c7d31c50c4cf
2117,2118,Anthony Hernandez,093e1f5bb73850be
822,823,Anthony Ivy,3c5005b66696d790
10272,10273,Anthony Johnson,365fee2da473b177
6648,6649,Anthony Lapsley,f3a853544e4413c4
11960,11961,Anthony Macias,dedc3bb440d09554
6618,6619,Anthony Njokuani,6bf5a7d3e081ade2
10861,10862,Anthony Perosh,4b4753d19489297f
922,923,Anthony Pettis,cbb682f5fcc44bfc
6315,6316,Anthony Rocco Martin,5331b25a60417ffb
4577,4578,Anthony Smith,d4c9dcd330403612
10846,10847,Anthony Torres,918d9d89d4d52acc
7627,7628,Anton Kuivanen,706f8e2b34e8e18b
5169,5170,Anton Zafir,8c822811eedc11ad
10623,10624,Antoni Hardonk,69b69c0178c4004d
1558,1559,Antonina Shevchenko,d7338bcb141abd2c
1206,1207,Antonio Arroyo,61fb8098ccf81c7f
8953,8954,Antonio Banuelos,9ddfb3369a3b0394
7420,7421,Antonio Braga Neto,fae67903c4fe636b
3332,3333,Antonio Carlos Junior,52e76bb4b3e852f3
8409,8410,Antonio Carvalho,fef3d17e27e916e7
5511,5512,Antonio Dos Santos,81b8b3fb019dc69d
9009,9010,Antonio McKee,3414b50b08a10600
10215,10216,Antonio Mendes,3795fca327cbcf23
10294,10295,Antonio Rodrigo Nogueira,ee9d73f4fee9cbdd
5151,5152,Antonio Silva,8349d55cdecd393a
6336,6337,Anying Wang,69e8c632135af48b
1412,1413,Ariane Carnelossi,c0d5c0c95c59050b
1220,1221,Ariane Lipski,6551c64fbcd1a467
3216,3217,Ariel Beck,b96939f2b8d88e82
2874,2875,Arjan Bhullar,7e511f8d842a109d
1575,1576,Arman Tsarukyan,eae48ff31db420c2
1090,1091,Arnold Allen,040a74bb0a465c54
3356,3357,Artem Lobov,02f2a9702ba3d167
11983,11984,Asbel Cancio,2a7afe14b3a0a058
3681,3682,Ashkan Mokhtarian,e9bc5748e6a76bb6
2895,2896,Ashlee Evans-Smith,fc6e681bf6658faf
1285,1286,Ashley Yoder,b4c6c904a9ffc5e8
41,42,Askar Askarov,b1d19449397541dc
1772,1773,Aspen Ladd,d4691518d012b9e7
10591,10592,Assuerio Silva,e091482fa6648261
3801,3802,Augusto Mendes,3d5b1ce6097dbb49
4346,4347,Augusto Montano,94508d80e1f885fc
1849,1850,Augusto Sakai,441eacbe20e0e80b
2567,2568,Austin Arnett,bf0e700106d00e55
802,803,Austin Hubbard,d2cd7a69cc55e7ed
1076,1077,Austin Lingo,305d73ede05e31ad
571,572,Austin Springer,37cc294027f55e4d
7837,7838,Azamat Gashimov,a1b0715c4fd2dbd3
3417,3418,Azunna Anyanwu,78d48d3874dacafd
11417,11418,BJ Penn,73c7cfa551289285
2665,2666,Barb Honchak,472f6f6e6d962f40
7537,7538,Bart Palaszewski,4304992c2acc187b
2597,2598,Bartosz Fabinski,e17ac6410c8377f4
11672,11673,Bas Rutten,03688dc3c3af3ac1
978,979,Batgerel Danaa,3b0a516d2921e0d6
1754,1755,Bea Malecki,b60c980f79b87ce8
4814,4815,Bec Rawlings,907e60fd13407e1e
110,111,Belal Muhammad,b1b0729d27936f2f
7562,7563,Ben Alloway,c4fe2e9a06ea5bcb
2013,2014,Ben Askren,0b31f87be71ebbb1
11538,11539,Ben Earwood,ee457ef1e1c326c1
