,fight_id,fighter_r,fighter_b,winner,title_fight,weight_class,win_by,last_round,stoppage_time,fight_format,referee,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
839,8f5d5dd10a167cc0,Ricardo Ramos,Journey Newson,Ricardo Ramos,False,Bantamweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Travis Metteer,0,40 of 120,33%,48 of 129,3 of 3,100%,0,0,2:46,23 of 90,8 of 17,9 of 13,37 of 117,1 of 1,2 of 2,0,38 of 123,30%,41 of 127,0 of 1,0%,1,0,0:10,9 of 80,9 of 18,20 of 25,37 of 122,1 of 1,0 of 0
840,c0982b3919cc74f0,Eryk Anders,Vinicius Moreira,Eryk Anders,False,Light Heavyweight, KO/TKO ,1,1:18,3 Rnd (5-5-5),Vance Swerdan,1,11 of 15,73%,13 of 17,0 of 0,---,0,0,0:10,11 of 15,0 of 0,0 of 0,5 of 8,2 of 3,4 of 4,0,2 of 3,66%,2 of 3,0 of 5,0%,0,0,0:41,0 of 0,1 of 2,1 of 1,2 of 3,0 of 0,0 of 0
841,3f8c6e31ebbe54bc,Jared Gordon,Dan Moret,Jared Gordon,False,Lightweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,0,48 of 79,60%,171 of 218,2 of 6,33%,0,2,9:44,43 of 72,4 of 6,1 of 1,17 of 32,8 of 14,23 of 33,0,34 of 73,46%,37 of 78,2 of 2,100%,1,0,2:10,11 of 45,18 of 22,5 of 6,21 of 49,12 of 22,1 of 2
842,7ce7075951c9aa31,Dalcha Lungiambula,Dequan Townsend,Dalcha Lungiambula,False,Light Heavyweight, KO/TKO ,3,0:42,3 Rnd (5-5-5),Travis Metteer,1,32 of 43,74%,64 of 80,4 of 6,66%,0,0,7:43,22 of 30,9 of 12,1 of 1,7 of 15,2 of 2,23 of 26,0,13 of 30,43%,32 of 50,0 of 0,---,0,0,0:02,8 of 23,4 of 6,1 of 1,8 of 25,2 of 2,3 of 3
843,e460bf4db340ca9e,Emily Whitmire,Amanda Ribas,Amanda Ribas,False,Women's Strawweight, Submission ,2,2:10,3 Rnd (5-5-5),Vance Swerdan,0,7 of 25,28%,18 of 37,0 of 0,---,0,1,1:34,4 of 21,3 of 4,0 of 0,4 of 21,2 of 2,1 of 2,0,21 of 41,51%,67 of 92,2 of 5,40%,2,0,4:32,16 of 35,4 of 5,1 of 1,10 of 22,4 of 5,7 of 14
844,9ba051e0f5674108,Maurice Greene,Junior Albini,Maurice Greene,False,Heavyweight, KO/TKO ,1,3:38,3 Rnd (5-5-5),Jason Herzog,2,37 of 83,44%,39 of 85,0 of 0,---,0,0,0:36,17 of 57,9 of 11,11 of 15,31 of 66,4 of 10,2 of 7,0,19 of 44,43%,22 of 47,0 of 0,---,0,0,0:31,10 of 30,7 of 11,2 of 3,17 of 40,2 of 4,0 of 0
845,aec1339028f3416c,Renato Moicano,Chan Sung Jung,Chan Sung Jung,False,Featherweight, KO/TKO ,1,0:58,5 Rnd (5-5-5-5-5),Blake Grice,0,0 of 3,0%,0 of 3,0 of 0,---,0,0,0:00,0 of 3,0 of 0,0 of 0,0 of 3,0 of 0,0 of 0,1,16 of 24,66%,18 of 26,0 of 0,---,0,0,0:26,15 of 23,0 of 0,1 of 1,3 of 6,0 of 0,13 of 18
846,4096b302747d47b3,Bryan Barberena,Randy Brown,Randy Brown,False,Welterweight, KO/TKO ,3,2:54,3 Rnd (5-5-5),Dan Miragliotta,0,47 of 101,46%,122 of 178,0 of 0,---,0,0,0:59,15 of 55,11 of 16,21 of 30,29 of 77,15 of 20,3 of 4,1,89 of 152,58%,91 of 154,0 of 0,---,0,0,2:38,44 of 97,31 of 41,14 of 14,59 of 119,30 of 33,0 of 0
847,8f1b727757a60c07,Andre Ewell,Anderson Dos Santos,Andre Ewell,False,Bantamweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Gary Copeland,0,73 of 173,42%,74 of 174,0 of 0,---,0,0,0:02,67 of 164,5 of 8,1 of 1,72 of 172,1 of 1,0 of 0,0,35 of 132,26%,63 of 163,2 of 9,22%,0,0,3:52,26 of 117,3 of 5,6 of 10,29 of 123,4 of 4,2 of 5
848,13129c1f044fdd47,Andrea Lee,Montana De La Rosa,Andrea Lee,False,Women's Flyweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Gary Copeland,0,73 of 126,57%,82 of 135,1 of 3,33%,0,0,2:29,38 of 84,25 of 32,10 of 10,43 of 88,17 of 20,13 of 18,0,14 of 107,13%,40 of 136,5 of 12,41%,1,0,3:57,9 of 96,4 of 9,1 of 2,11 of 100,3 of 6,0 of 1
849,b1da312483a974b3,Kevin Holland,Alessio Di Chirico,Kevin Holland,False,Middleweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Blake Grice,0,58 of 117,49%,192 of 253,0 of 3,0%,0,0,3:20,13 of 61,18 of 26,27 of 30,43 of 100,15 of 17,0 of 0,0,51 of 84,60%,62 of 97,2 of 4,50%,0,0,1:42,29 of 57,6 of 11,16 of 16,35 of 64,15 of 19,1 of 1
850,f047e3605f8852d8,Dan Ige,Kevin Aguilar,Dan Ige,False,Featherweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jimmy Neely,1,71 of 125,56%,92 of 146,1 of 4,25%,0,0,4:07,52 of 102,12 of 16,7 of 7,44 of 89,6 of 9,21 of 27,0,33 of 104,31%,65 of 136,1 of 1,100%,0,1,2:19,21 of 83,10 of 18,2 of 3,21 of 87,5 of 6,7 of 11
851,6e9cf53cd87e1b7e,Ashley Yoder,Syuri Kondo,Ashley Yoder,False,Women's Strawweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Gary Copeland,0,75 of 100,75%,147 of 194,1 of 5,20%,0,0,12:54,61 of 83,12 of 15,2 of 2,13 of 23,5 of 5,57 of 72,0,23 of 40,57%,35 of 56,0 of 0,---,1,0,0:20,17 of 33,6 of 7,0 of 0,7 of 21,13 of 16,3 of 3
852,ab4862ea4cbd0750,Matt Wiman,Luis Pena,Luis Pena,False,Lightweight, KO/TKO ,3,1:14,3 Rnd (5-5-5),Dan Miragliotta,0,24 of 42,57%,28 of 46,1 of 3,33%,0,0,0:14,2 of 18,3 of 4,19 of 20,24 of 36,0 of 2,0 of 4,0,87 of 148,58%,98 of 160,1 of 1,100%,1,1,7:33,84 of 144,3 of 4,0 of 0,18 of 45,9 of 12,60 of 91
853,e4559c3cce6edec1,Allen Crowder,Jairzinho Rozenstruik,Jairzinho Rozenstruik,False,Heavyweight, KO/TKO ,1,0:09,3 Rnd (5-5-5),Blake Grice,0,0 of 1,0%,0 of 1,0 of 0,---,0,0,0:00,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0,1,4 of 4,100%,4 of 4,0 of 0,---,0,0,0:02,3 of 3,1 of 1,0 of 0,1 of 1,0 of 0,3 of 3
854,fa98e2b8dceca9bb,Ariane Lipski,Molly McCann,Molly McCann,False,Women's Flyweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jimmy Neely,0,68 of 271,25%,68 of 271,0 of 0,---,0,0,0:02,33 of 217,20 of 35,15 of 19,65 of 264,2 of 3,1 of 4,0,108 of 213,50%,109 of 214,2 of 2,100%,0,0,0:44,66 of 162,9 of 12,33 of 39,96 of 194,4 of 4,8 of 15
