,fight_id,fighter_r,fighter_b,winner,title_fight,weight_class,win_by,last_round,stoppage_time,fight_format,referee,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
1,2c13b938e0f8190b,Leon Edwards,Belal Muhammad,N/A,False,Welterweight, Could Not Continue ,2,0:18,5 Rnd (5-5-5-5-5),Herb Dean,0,19 of 39,48%,20 of 40,0 of 1,0%,0,0,0:19,10 of 29,5 of 6,4 of 4,19 of 38,0 of 1,0 of 0,0,8 of 26,30%,14 of 32,0 of 0,---,0,0,0:33,7 of 23,1 of 3,0 of 0,6 of 23,2 of 3,0 of 0
2,4944437e73071671,Misha Cirkunov,Ryan Spann,Ryan Spann,False,Light Heavyweight, KO/TKO ,1,1:11,3 Rnd (5-5-5),Mark Smith,0,5 of 18,27%,5 of 18,0 of 0,---,0,0,0:00,5 of 18,0 of 0,0 of 0,5 of 18,0 of 0,0 of 0,1,16 of 29,55%,16 of 29,0 of 0,---,0,0,0:13,14 of 27,2 of 2,0 of 0,4 of 13,0 of 0,12 of 16
3,d15a87087b6f1452,Dan Ige,Gavin Tucker,Dan Ige,False,Featherweight, KO/TKO ,1,0:22,3 Rnd (5-5-5),Mike Beltran,1,1 of 4,25%,1 of 4,0 of 0,---,0,0,0:01,1 of 4,0 of 0,0 of 0,1 of 4,0 of 0,0 of 0,0,1 of 1,100%,1 of 1,0 of 0,---,0,0,0:00,0 of 0,0 of 0,1 of 1,1 of 1,0 of 0,0 of 0
4,70aa6b8f863e6861,Jonathan Martinez,Davey Grant,Davey Grant,False,Bantamweight, KO/TKO ,2,3:03,3 Rnd (5-5-5),Chris Tognoni,1,29 of 71,40%,29 of 71,0 of 0,---,0,0,0:25,16 of 57,5 of 6,8 of 8,26 of 66,0 of 0,3 of 5,1,48 of 110,43%,49 of 111,0 of 1,0%,0,0,0:03,14 of 64,19 of 30,15 of 16,46 of 108,0 of 0,2 of 2
5,01f262b68a6a2223,Manel Kape,Matheus Nicolau,Matheus Nicolau,False,Flyweight, Decision - Split ,3,5:00,3 Rnd (5-5-5),,0,61 of 150,40%,73 of 165,0 of 0,---,0,0,0:38,37 of 120,10 of 16,14 of 14,58 of 145,1 of 2,2 of 3,0,55 of 102,53%,76 of 132,2 of 9,22%,1,0,2:31,27 of 66,21 of 26,7 of 10,50 of 96,2 of 2,3 of 4
6,dc48627a5f2daba9,Eryk Anders,Darren Stewart,N/A,False,Middleweight, Could Not Continue ,1,4:37,3 Rnd (5-5-5),Herb Dean,1,43 of 63,68%,58 of 79,3 of 7,42%,0,0,2:35,38 of 57,3 of 3,2 of 3,17 of 32,11 of 14,15 of 17,0,15 of 42,35%,21 of 51,0 of 0,---,0,0,0:00,7 of 32,2 of 2,6 of 8,11 of 38,4 of 4,0 of 0
7,18c67631b76c18e5,Angela Hill,Ashley Yoder,Angela Hill,False,Women's Strawweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mike Beltran,0,77 of 135,57%,97 of 165,1 of 3,33%,0,0,3:52,26 of 63,35 of 54,16 of 18,47 of 98,29 of 33,1 of 4,0,34 of 116,29%,53 of 143,2 of 6,33%,0,0,2:39,17 of 85,11 of 21,6 of 10,34 of 115,0 of 1,0 of 0
8,bb7ce8a6ba7f7cc5,Charles Jourdain,Marcelo Rojo,Charles Jourdain,False,Featherweight, KO/TKO ,3,4:31,3 Rnd (5-5-5),Mark Smith,2,106 of 220,48%,128 of 248,0 of 1,0%,0,0,2:57,68 of 167,21 of 35,17 of 18,73 of 163,14 of 18,19 of 39,0,74 of 204,36%,80 of 211,1 of 2,50%,0,0,0:28,25 of 146,22 of 29,27 of 29,63 of 187,11 of 17,0 of 0
9,03bdbf2d18f3025d,Rani Yahya,Ray Rodriguez,Rani Yahya,False,Bantamweight, Submission ,2,3:09,3 Rnd (5-5-5),Herb Dean,0,8 of 13,61%,42 of 65,2 of 4,50%,1,0,7:00,0 of 3,1 of 2,7 of 8,8 of 13,0 of 0,0 of 0,0,3 of 18,16%,15 of 35,0 of 0,---,0,0,0:00,2 of 16,1 of 2,0 of 0,3 of 18,0 of 0,0 of 0
10,a6828a6dfb21d33c,Nasrat Haqparast,Rafa Garcia,Nasrat Haqparast,False,Lightweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,0,99 of 217,45%,99 of 218,0 of 2,0%,0,0,0:00,60 of 170,38 of 45,1 of 2,99 of 217,0 of 0,0 of 0,0,52 of 217,23%,54 of 219,0 of 3,0%,0,0,0:21,32 of 186,15 of 24,5 of 7,48 of 211,4 of 6,0 of 0
11,e8adfbbe0053c321,Cortney Casey,JJ Aldrich,JJ Aldrich,False,Women's Flyweight, Decision - Split ,3,5:00,3 Rnd (5-5-5),Mark Smith,0,55 of 131,41%,121 of 202,0 of 1,0%,0,0,0:02,35 of 107,9 of 12,11 of 12,45 of 114,10 of 17,0 of 0,0,45 of 80,56%,58 of 99,4 of 7,57%,0,0,5:44,41 of 74,4 of 6,0 of 0,36 of 64,4 of 7,5 of 9
12,8a7b0cd5ad9ca4fe,Gloria de Paula,Jinh Yu Frey,Jinh Yu Frey,False,Women's Strawweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mike Beltran,0,31 of 63,49%,51 of 95,0 of 0,---,0,0,0:05,18 of 48,7 of 9,6 of 6,27 of 59,4 of 4,0 of 0,0,24 of 79,30%,50 of 125,2 of 3,66%,2,0,9:33,10 of 62,3 of 5,11 of 12,17 of 70,1 of 1,6 of 8
13,d0ebb0551377a1c1,Matthew Semelsberger,Jason Witt,Matthew Semelsberger,False,Welterweight, KO/TKO ,1,0:16,3 Rnd (5-5-5),Chris Tognoni,1,3 of 5,60%,3 of 5,0 of 0,---,0,0,0:02,2 of 4,0 of 0,1 of 1,2 of 2,0 of 0,1 of 3,0,4 of 4,100%,4 of 4,0 of 0,---,0,0,0:00,2 of 2,0 of 0,2 of 2,4 of 4,0 of 0,0 of 0
14,7de9867b7cc2b1b1,Jan Blachowicz,Israel Adesanya,Jan Blachowicz,True,UFC Light Heavyweight Title, Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,0,107 of 193,55%,184 of 276,3 of 5,60%,0,0,7:06,67 of 146,29 of 33,11 of 14,85 of 169,6 of 6,16 of 18,0,78 of 161,48%,99 of 182,0 of 0,---,0,0,0:01,32 of 102,17 of 23,29 of 36,77 of 158,0 of 1,1 of 2
15,fd92fe0c494d0959,Amanda Nunes,Megan Anderson,Amanda Nunes,True,UFC Women's Featherweight Title, Submission ,1,2:03,5 Rnd (5-5-5-5-5),Jason Herzog,0,18 of 25,72%,19 of 26,0 of 0,---,2,0,0:42,15 of 22,0 of 0,3 of 3,10 of 16,0 of 0,8 of 9,0,2 of 5,40%,2 of 5,0 of 1,0%,0,0,0:00,0 of 3,1 of 1,1 of 1,2 of 5,0 of 0,0 of 0
16,15c9cb5f9320c555,Petr Yan,Aljamain Sterling,Aljamain Sterling,True,UFC Bantamweight Title, DQ ,4,4:29,5 Rnd (5-5-5-5-5),Mark Smith,1,86 of 137,62%,103 of 157,7 of 7,100%,0,0,4:12,48 of 96,21 of 24,17 of 17,64 of 106,12 of 18,10 of 13,0,97 of 230,42%,119 of 260,1 of 17,5%,0,1,3:25,40 of 154,43 of 60,14 of 16,79 of 207,13 of 14,5 of 9
17,c06d7bb29bc24d00,Islam Makhachev,Drew Dober,Islam Makhachev,False,Lightweight, Submission ,3,1:37,3 Rnd (5-5-5),Chris Tognoni,0,15 of 25,60%,102 of 119,3 of 4,75%,2,0,9:26,12 of 22,2 of 2,1 of 1,5 of 14,1 of 1,9 of 10,0,10 of 20,50%,14 of 24,0 of 0,---,0,0,0:12,5 of 15,3 of 3,2 of 2,6 of 14,1 of 1,3 of 5
18,04a788abbbd1f256,Thiago Santos,Aleksandar Rakic,Aleksandar Rakic,False,Light Heavyweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,0,49 of 97,50%,61 of 109,0 of 1,0%,0,0,0:00,10 of 41,23 of 33,16 of 23,35 of 82,14 of 15,0 of 0,0,36 of 89,40%,50 of 103,0 of 2,0%,0,0,2:32,8 of 47,13 of 16,15 of 26,29 of 82,7 of 7,0 of 0
19,f4363f1317b47213,Dominick Cruz,Casey Kenney,Dominick Cruz,False,Bantamweight, Decision - Split ,3,5:00,3 Rnd (5-5-5),Jason Herzog,0,89 of 202,44%,115 of 229,2 of 9,22%,0,0,2:07,51 of 151,24 of 35,14 of 16,85 of 197,4 of 4,0 of 1,0,74 of 193,38%,74 of 193,0 of 2,0%,0,0,0:26,41 of 148,10 of 19,23 of 26,72 of 191,2 of 2,0 of 0
20,5980ab31e4718a83,Song Yadong,Kyler Phillips,Kyler Phillips,False,Bantamweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mark Smith,0,67 of 161,41%,89 of 189,0 of 0,---,0,1,1:06,39 of 120,20 of 32,8 of 9,67 of 158,0 of 1,0 of 2,0,59 of 142,41%,69 of 152,3 of 5,60%,0,0,1:36,38 of 112,16 of 23,5 of 7,54 of 137,2 of 2,3 of 3
21,ae5d14a9fc1ad19c,Joseph Benavidez,Askar Askarov,Askar Askarov,False,Flyweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jason Herzog,0,46 of 114,40%,61 of 130,0 of 0,---,0,0,0:00,13 of 57,21 of 41,12 of 16,41 of 108,4 of 5,1 of 1,0,58 of 88,65%,71 of 107,5 of 6,83%,0,0,5:00,39 of 65,14 of 18,5 of 5,50 of 77,4 of 5,4 of 6
22,873306ad79b62f5e,Rogerio Bontorin,Kai Kara-France,Kai Kara-France,False,Flyweight, KO/TKO ,1,4:55,3 Rnd (5-5-5),Herb Dean,0,6 of 17,35%,27 of 43,1 of 1,100%,2,0,3:15,5 of 16,1 of 1,0 of 0,5 of 16,0 of 0,1 of 1,1,13 of 22,59%,21 of 32,0 of 0,---,0,0,0:01,8 of 17,2 of 2,3 of 3,11 of 20,2 of 2,0 of 0
23,2704d31de2c2f43b,Tim Elliott,Jordan Espinosa,Tim Elliott,False,Flyweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mark Smith,0,25 of 44,56%,91 of 120,4 of 7,57%,0,0,13:19,14 of 27,10 of 14,1 of 3,4 of 17,6 of 9,15 of 18,0,13 of 25,52%,22 of 35,0 of 0,---,0,0,0:00,7 of 18,4 of 4,2 of 3,6 of 15,4 of 5,3 of 5
24,d170f6580e1c244f,Kennedy Nzechukwu,Carlos Ulberg,Kennedy Nzechukwu,False,Light Heavyweight, KO/TKO ,2,3:19,3 Rnd (5-5-5),Herb Dean,1,82 of 148,55%,84 of 150,0 of 1,0%,0,0,0:05,81 of 144,1 of 4,0 of 0,72 of 132,3 of 8,7 of 8,0,146 of 227,64%,146 of 227,0 of 0,---,0,0,0:05,101 of 175,31 of 37,14 of 15,132 of 210,14 of 17,0 of 0
25,7ad09f889d2cdb6f,Sean Brady,Jake Matthews,Sean Brady,False,Welterweight, Submission ,3,3:28,3 Rnd (5-5-5),Chris Tognoni,0,37 of 68,54%,133 of 187,1 of 1,100%,1,1,8:08,23 of 52,1 of 1,13 of 15,21 of 49,0 of 0,16 of 19,0,21 of 84,25%,32 of 95,0 of 0,---,0,0,0:04,17 of 76,3 of 7,1 of 1,19 of 82,0 of 0,2 of 2
26,50ef636148fa6fac,Livinha Souza,Amanda Lemos,Amanda Lemos,False,Women's Strawweight, KO/TKO ,1,3:39,3 Rnd (5-5-5),Jason Herzog,0,1 of 7,14%,1 of 7,0 of 0,---,0,0,0:00,0 of 4,0 of 1,1 of 2,1 of 7,0 of 0,0 of 0,2,29 of 46,63%,30 of 47,0 of 0,---,0,0,1:13,22 of 37,3 of 5,4 of 4,12 of 22,0 of 0,17 of 24
27,e2abba69c3371618,Uros Medic,Aalon Cruz,Uros Medic,False,Lightweight, KO/TKO ,1,1:40,3 Rnd (5-5-5),Mark Smith,1,45 of 63,71%,55 of 74,0 of 0,---,0,0,0:56,43 of 61,1 of 1,1 of 1,7 of 8,3 of 3,35 of 52,0,0 of 3,0%,0 of 3,0 of 2,0%,0,0,0:11,0 of 2,0 of 1,0 of 0,0 of 3,0 of 0,0 of 0
28,c096342c57a6f2c4,Mario Bautista,Trevin Jones,Trevin Jones,False,Bantamweight, KO/TKO ,2,0:47,3 Rnd (5-5-5),Chris Tognoni,0,21 of 42,50%,43 of 64,0 of 0,---,0,0,0:09,11 of 27,6 of 11,4 of 4,16 of 35,5 of 7,0 of 0,1,23 of 30,76%,36 of 44,0 of 3,0%,0,0,1:26,11 of 18,1 of 1,11 of 11,17 of 22,2 of 2,4 of 6
29,4a704dae3091adaf,Jairzinho Rozenstruik,Ciryl Gane,Ciryl Gane,False,Heavyweight, Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,0,42 of 104,40%,49 of 111,0 of 0,---,0,0,0:00,14 of 69,5 of 6,23 of 29,38 of 97,4 of 7,0 of 0,0,102 of 176,57%,128 of 202,2 of 14,14%,0,0,4:29,33 of 83,23 of 32,46 of 61,98 of 172,3 of 3,1 of 1
30,3a4e2dffcdd1c838,Nikita Krylov,Magomed Ankalaev,Magomed Ankalaev,False,Light Heavyweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mark Smith,0,47 of 120,39%,58 of 132,1 of 6,16%,0,0,1:44,18 of 78,22 of 34,7 of 8,45 of 116,2 of 4,0 of 0,0,43 of 92,46%,89 of 143,3 of 9,33%,0,0,5:59,37 of 83,4 of 7,2 of 2,29 of 76,2 of 2,12 of 14
31,f3ad8ad8d242678e,Montana De La Rosa,Mayra Bueno Silva,N/A,False,Women's Flyweight, Decision - Majority ,3,5:00,3 Rnd (5-5-5),Jerin Valel,0,30 of 72,41%,107 of 156,3 of 12,25%,0,0,9:12,19 of 56,11 of 16,0 of 0,23 of 63,5 of 6,2 of 3,0,52 of 80,65%,111 of 142,0 of 0,---,1,0,1:04,28 of 53,22 of 23,2 of 4,20 of 40,29 of 36,3 of 4
32,c2ee423d1f0b4f6f,Pedro Munhoz,Jimmie Rivera,Pedro Munhoz,False,Bantamweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,0,94 of 194,48%,94 of 194,0 of 0,---,0,0,0:03,35 of 115,19 of 27,40 of 52,93 of 193,1 of 1,0 of 0,0,65 of 193,33%,65 of 193,1 of 5,20%,0,0,0:04,48 of 168,4 of 8,13 of 17,65 of 193,0 of 0,0 of 0
33,6a0341234ecc4e87,Alex Caceres,Kevin Croom,Alex Caceres,False,Featherweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,0,48 of 68,70%,97 of 121,1 of 1,100%,1,1,3:44,33 of 49,11 of 13,4 of 6,30 of 46,12 of 14,6 of 8,0,16 of 51,31%,26 of 67,1 of 16,6%,0,1,7:32,10 of 44,1 of 2,5 of 5,14 of 46,2 of 5,0 of 0
34,3eac2d47ac252f4b,Alexander Hernandez,Thiago Moises,Thiago Moises,False,Lightweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mark Smith,0,50 of 205,24%,50 of 205,0 of 0,---,0,0,0:00,15 of 152,18 of 33,17 of 20,50 of 204,0 of 1,0 of 0,0,53 of 183,28%,53 of 183,0 of 1,0%,0,0,0:00,36 of 155,5 of 11,12 of 17,53 of 183,0 of 0,0 of 0
35,a7315147a7022a93,Alexis Davis,Sabina Mazo,Alexis Davis,False,Women's Bantamweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,0,49 of 83,59%,128 of 196,3 of 3,100%,0,0,8:50,8 of 37,4 of 5,37 of 41,46 of 78,0 of 0,3 of 5,0,64 of 165,38%,71 of 173,0 of 1,0%,0,0,0:00,50 of 149,5 of 7,9 of 9,64 of 165,0 of 0,0 of 0
36,11a83369d49ad138,Vince Cachero,Ronnie Lawrence,Ronnie Lawrence,False,Bantamweight, KO/TKO ,3,2:38,3 Rnd (5-5-5),Jerin Valel,0,15 of 46,32%,23 of 55,0 of 2,0%,1,1,0:36,8 of 36,3 of 6,4 of 4,10 of 38,5 of 7,0 of 1,0,77 of 121,63%,102 of 151,8 of 9,88%,0,0,7:49,53 of 89,14 of 19,10 of 13,22 of 46,5 of 7,50 of 68
37,bc86601cf781a89c,Dustin Jacoby,Maxim Grishin,Dustin Jacoby,False,Light Heavyweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,0,57 of 137,41%,60 of 141,0 of 0,---,0,0,0:48,25 of 88,7 of 15,25 of 34,55 of 133,2 of 4,0 of 0,2,66 of 156,42%,80 of 172,0 of 2,0%,0,0,1:16,31 of 110,8 of 16,27 of 30,59 of 144,2 of 5,5 of 7
38,b12bc15f384ecc42,Curtis Blaydes,Derrick Lewis,Derrick Lewis,False,Heavyweight, KO/TKO ,2,1:26,5 Rnd (5-5-5-5-5),Herb Dean,0,28 of 52,53%,28 of 52,0 of 3,0%,0,0,0:15,18 of 42,3 of 3,7 of 7,25 of 47,3 of 5,0 of 0,1,7 of 23,30%,7 of 23,0 of 0,---,0,0,0:00,6 of 21,1 of 2,0 of 0,4 of 20,1 of 1,2 of 2
39,a4814d682954e8ab,Ketlen Vieira,Yana Kunitskaya,Yana Kunitskaya,False,Women's Bantamweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jason Herzog,0,7 of 16,43%,35 of 51,3 of 8,37%,0,0,8:38,3 of 10,3 of 4,1 of 2,3 of 11,4 of 5,0 of 0,0,47 of 60,78%,215 of 247,0 of 0,---,0,0,5:09,7 of 15,30 of 35,10 of 10,8 of 11,21 of 24,18 of 25
40,82243207b4dfce87,Charles Rosa,Darrick Minner,Darrick Minner,False,Featherweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mark Smith,0,15 of 25,60%,40 of 51,0 of 1,0%,2,0,0:00,9 of 17,4 of 4,2 of 4,8 of 17,0 of 0,7 of 8,1,45 of 60,75%,96 of 117,4 of 5,80%,3,0,12:34,35 of 49,5 of 5,5 of 6,21 of 31,5 of 7,19 of 22
41,8f7328fe18806fb0,Aleksei Oleinik,Chris Daukaus,Chris Daukaus,False,Heavyweight, KO/TKO ,1,1:55,3 Rnd (5-5-5),Herb Dean,0,5 of 10,50%,6 of 11,0 of 1,0%,0,0,0:24,3 of 8,1 of 1,1 of 1,5 of 10,0 of 0,0 of 0,0,34 of 56,60%,34 of 56,0 of 0,---,0,0,0:19,32 of 54,2 of 2,0 of 0,28 of 49,2 of 3,4 of 4
42,05ceb8b2f93993a6,Phil Hawes,Nassourdine Imavov,Phil Hawes,False,Middleweight, Decision - Majority ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,0,31 of 54,57%,101 of 128,4 of 7,57%,0,0,11:06,13 of 31,7 of 9,11 of 14,23 of 42,7 of 11,1 of 1,0,57 of 93,61%,87 of 124,0 of 0,---,0,0,0:07,39 of 71,14 of 17,4 of 5,29 of 62,27 of 30,1 of 1
43,15b1c7ddc4415fdd,Andrei Arlovski,Tom Aspinall,Tom Aspinall,False,Heavyweight, Submission ,2,1:09,3 Rnd (5-5-5),Mark Smith,0,20 of 55,36%,22 of 57,0 of 0,---,0,0,0:00,8 of 40,7 of 9,5 of 6,17 of 49,3 of 6,0 of 0,0,37 of 60,61%,41 of 64,1 of 1,100%,1,0,2:17,22 of 44,6 of 7,9 of 9,24 of 40,13 of 20,0 of 0
44,931fd51ab69fb443,Jared Gordon,Danny Chavez,Jared Gordon,False,Featherweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,0,82 of 131,62%,138 of 191,2 of 7,28%,0,0,6:07,41 of 89,19 of 20,22 of 22,67 of 110,6 of 8,9 of 13,0,39 of 113,34%,42 of 116,1 of 1,100%,0,0,0:10,23 of 91,5 of 8,11 of 14,38 of 112,1 of 1,0 of 0
45,990c2378caec68d4,Eddie Wineland,John Castaneda,John Castaneda,False,Bantamweight, KO/TKO ,1,4:44,3 Rnd (5-5-5),Jason Herzog,0,17 of 66,25%,17 of 66,1 of 1,100%,0,0,0:12,10 of 50,3 of 6,4 of 10,16 of 63,0 of 0,1 of 3,1,42 of 57,73%,44 of 59,0 of 0,---,0,0,0:04,23 of 34,4 of 7,15 of 16,34 of 49,2 of 2,6 of 6
46,e175c1a0bff30187,Nate Landwehr,Julian Erosa,Julian Erosa,False,Featherweight, KO/TKO ,1,0:56,3 Rnd (5-5-5),Mark Smith,0,9 of 14,64%,9 of 14,0 of 0,---,0,0,0:00,5 of 9,1 of 1,3 of 4,6 of 11,3 of 3,0 of 0,1,15 of 23,65%,17 of 25,0 of 0,---,0,0,0:01,11 of 18,2 of 3,2 of 2,12 of 17,2 of 5,1 of 1
47,1d892fec31dc7ad7,Shana Dobson,Casey O'Neill,Casey O'Neill,False,Women's Flyweight, KO/TKO ,2,3:41,3 Rnd (5-5-5),Chris Tognoni,0,16 of 28,57%,27 of 42,0 of 0,---,0,1,0:13,9 of 21,5 of 5,2 of 2,11 of 20,3 of 4,2 of 4,0,49 of 68,72%,132 of 183,4 of 6,66%,1,0,7:26,44 of 62,3 of 4,2 of 2,17 of 24,1 of 1,31 of 43
48,b9cd4910f0ecff45,Aiemann Zahabi,Drako Rodriguez,Aiemann Zahabi,False,Bantamweight, KO/TKO ,1,3:05,3 Rnd (5-5-5),Mark Smith,1,9 of 11,81%,9 of 11,0 of 0,---,0,0,0:10,8 of 10,1 of 1,0 of 0,6 of 7,1 of 2,2 of 2,0,11 of 33,33%,13 of 35,0 of 0,---,0,0,0:00,6 of 27,1 of 2,4 of 4,8 of 30,3 of 3,0 of 0
49,c3b6aa47e7532a7b,Serghei Spivac,Jared Vanderaa,Serghei Spivac,False,Heavyweight, KO/TKO ,2,4:32,3 Rnd (5-5-5),Chris Tognoni,0,51 of 72,70%,107 of 135,3 of 3,100%,0,0,8:29,51 of 72,0 of 0,0 of 0,7 of 17,0 of 0,44 of 55,0,13 of 24,54%,27 of 38,0 of 0,---,0,0,0:00,8 of 19,3 of 3,2 of 2,11 of 22,2 of 2,0 of 0
50,be94e5b7a35ce5f2,Kamaru Usman,Gilbert Burns,Kamaru Usman,True,UFC Welterweight Title, KO/TKO ,3,0:34,5 Rnd (5-5-5-5-5),Herb Dean,2,83 of 136,61%,93 of 149,0 of 0,---,0,0,2:05,56 of 105,11 of 15,16 of 16,54 of 100,3 of 4,26 of 32,0,45 of 108,41%,55 of 124,0 of 3,0%,0,0,0:00,18 of 75,13 of 14,14 of 19,44 of 104,1 of 4,0 of 0
51,25b8c932da5e91f4,Maycee Barber,Alexa Grasso,Alexa Grasso,False,Women's Flyweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Keith Peterson,0,40 of 152,26%,50 of 165,3 of 5,60%,0,0,3:14,23 of 130,14 of 18,3 of 4,18 of 119,20 of 31,2 of 2,0,38 of 81,46%,95 of 162,0 of 0,---,1,1,5:10,24 of 57,9 of 14,5 of 10,25 of 61,13 of 20,0 of 0
52,26fbf026beb8e9f8,Kelvin Gastelum,Ian Heinisch,Kelvin Gastelum,False,Middleweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mark Smith,0,38 of 84,45%,51 of 115,6 of 14,42%,0,1,6:50,20 of 62,10 of 13,8 of 9,28 of 69,8 of 11,2 of 4,0,27 of 67,40%,56 of 107,1 of 6,16%,2,1,1:11,10 of 42,6 of 11,11 of 14,26 of 64,0 of 0,1 of 3
53,54e2490959f66dc2,Ricky Simon,Brian Kelleher,Ricky Simon,False,Featherweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Keith Peterson,0,45 of 98,45%,72 of 136,6 of 9,66%,1,0,8:14,25 of 73,3 of 4,17 of 21,29 of 74,6 of 9,10 of 15,0,19 of 73,26%,25 of 83,0 of 0,---,0,0,0:12,7 of 56,4 of 8,8 of 9,18 of 72,1 of 1,0 of 0
54,9201312dd860fa5a,Maki Pitolo,Julian Marquez,Julian Marquez,False,Middleweight, Submission ,3,4:17,3 Rnd (5-5-5),Mark Smith,0,32 of 65,49%,70 of 110,5 of 11,45%,1,1,9:07,16 of 46,12 of 14,4 of 5,22 of 52,7 of 8,3 of 5,0,41 of 100,41%,61 of 129,0 of 1,0%,4,1,1:54,37 of 94,3 of 4,1 of 2,18 of 72,15 of 16,8 of 12
55,96b1430379c0694a,Rodolfo Vieira,Anthony Hernandez,Anthony Hernandez,False,Middleweight, Submission ,2,1:53,3 Rnd (5-5-5),Keith Peterson,0,9 of 26,34%,14 of 32,4 of 10,40%,0,0,4:00,9 of 26,0 of 0,0 of 0,7 of 21,2 of 2,0 of 3,0,32 of 50,64%,50 of 73,0 of 0,---,2,1,1:25,28 of 45,4 of 5,0 of 0,28 of 46,4 of 4,0 of 0
56,8cf076524cad5a55,Belal Muhammad,Dhiego Lima,Belal Muhammad,False,Welterweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,0,129 of 264,48%,136 of 284,1 of 10,10%,0,0,2:42,109 of 232,20 of 31,0 of 1,118 of 248,11 of 16,0 of 0,0,69 of 203,33%,70 of 206,0 of 1,0%,0,0,0:00,26 of 156,17 of 19,26 of 28,69 of 203,0 of 0,0 of 0
57,17616514e8fdacb9,Polyana Viana,Mallory Martin,Polyana Viana,False,Women's Strawweight, Submission ,1,3:18,3 Rnd (5-5-5),Mark Smith,0,4 of 16,25%,71 of 89,0 of 0,---,5,0,0:18,0 of 12,3 of 3,1 of 1,4 of 16,0 of 0,0 of 0,0,5 of 7,71%,14 of 19,1 of 1,100%,0,0,2:25,1 of 3,4 of 4,0 of 0,5 of 7,0 of 0,0 of 0
58,f98e954823bd6e02,Andre Ewell,Chris Gutierrez,Chris Gutierrez,False,Catch Weight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,0,59 of 120,49%,62 of 124,1 of 1,100%,1,0,0:09,15 of 56,28 of 40,16 of 24,59 of 119,0 of 0,0 of 1,1,69 of 126,54%,72 of 131,1 of 1,100%,0,0,1:11,23 of 59,14 of 21,32 of 46,61 of 116,8 of 10,0 of 0
59,357c5b86ec83b826,Gabe Green,Philip Rowe,Gabe Green,False,Welterweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mark Smith,2,70 of 152,46%,128 of 213,2 of 2,100%,1,0,3:13,36 of 112,15 of 20,19 of 20,51 of 126,4 of 7,15 of 19,0,42 of 86,48%,48 of 93,2 of 6,33%,0,2,5:43,25 of 67,8 of 10,9 of 9,40 of 84,1 of 1,1 of 1
60,8b9bdacca749ec90,Alistair Overeem,Alexander Volkov,Alexander Volkov,False,Heavyweight, KO/TKO ,2,2:06,5 Rnd (5-5-5-5-5),Jason Herzog,0,10 of 20,50%,10 of 20,0 of 1,0%,0,0,0:15,3 of 13,2 of 2,5 of 5,10 of 20,0 of 0,0 of 0,1,54 of 88,61%,54 of 88,0 of 0,---,0,0,0:11,47 of 81,3 of 3,4 of 4,40 of 65,11 of 18,3 of 5
61,9ef858837dfc65eb,Cory Sandhagen,Frankie Edgar,Cory Sandhagen,False,Bantamweight, KO/TKO ,1,0:28,3 Rnd (5-5-5),Keith Peterson,1,2 of 5,40%,2 of 5,0 of 0,---,0,0,0:00,1 of 3,0 of 0,1 of 2,2 of 5,0 of 0,0 of 0,0,2 of 3,66%,2 of 3,0 of 0,---,0,0,0:00,1 of 2,0 of 0,1 of 1,2 of 3,0 of 0,0 of 0
