,event_id,event_name
93,c046100aea0dba9a,UFC 232: Jones vs. Gustafsson 2
94,7a703c565ccaa18f,UFC Fight Night: Lee vs. Iaquinta
95,2a74bbba57058f12,UFC 231: Holloway vs. Ortega
96,d1d20e651e6cbc02,UFC Fight Night: Dos Santos vs. Tuivasa
97,c7ac79839e86ce33,The Ultimate Fighter: Heavy Hitters Finale
98,de25520d54eab12d,UFC Fight Night: Blaydes vs. Ngannou 2
99,aa3153a9941b4d44,UFC Fight Night: Magny vs. Ponzinibbio
100,42c96a9c4802e2e1,UFC Fight Night: Korean Zombie vs. Rodriguez
101,20821819c401ced8,UFC 230: Cormier vs. Lewis
102,33a331684283900f,UFC Fight Night: Oezdemir vs. Smith
103,1ef0eae31904e534,UFC 229: Khabib vs. McGregor
104,852454c572675334,UFC Fight Night: Marreta vs. Anders
105,8d49545dadf9b919,UFC Fight Night: Hunt vs. Oleinik
106,d5ae8074631762fc,UFC 228: Woodley vs. Till
107,c0342805a1948cbb,UFC Fight Night: Gaethje vs. Vick
108,03b1e846b09f721d,UFC 227: Dillashaw vs. Garbrandt 2
109,322a56923b396b4d,UFC Fight Night: Alvarez vs. Poirier 2
110,4f732e58ed907eff,UFC Fight Night: Shogun vs. Smith
111,b45d6b73f4ca4467,UFC Fight Night: Dos Santos vs. Ivanov
112,35585d970300d45a,UFC 226: Miocic vs. Cormier
113,8215e4fe24e8e81b,The Ultimate Fighter: Undefeated Finale
114,ac5f67109accb482,UFC Fight Night: Cowboy vs. Edwards
115,2eae41f61776c60f,UFC 225: Whittaker vs. Romero 2
116,d29b5c4f22c6357d,UFC Fight Night: Rivera vs. Moraes
117,f5990c11974d8e9c,UFC Fight Night: Thompson vs. Till
118,3144121470023e9a,UFC Fight Night: Maia vs. Usman
119,67ec58d7cf599835,UFC 224: Nunes vs. Pennington
120,ad99fa5325519169,UFC Fight Night: Barboza vs. Lee
121,620be7e0712d431b,UFC Fight Night: Poirier vs. Gaethje
122,49e7e05f902479ca,UFC 223: Khabib vs. Iaquinta
123,eed2b71d77d95416,UFC Fight Night: Werdum vs. Volkov
124,7929be8290289a47,UFC 222: Cyborg vs. Kunitskaya
125,daa89f01e1c0f42a,UFC Fight Night: Emmett vs. Stephens
126,d181689653115b6a,UFC Fight Night: Cerrone vs. Medeiros
127,15515e797aedc137,UFC 221: Romero vs. Rockhold
128,7cf20446453f852b,UFC Fight Night: Machida vs. Anders
129,602bb270f2bdbf02,UFC Fight Night: Jacare vs. Brunson 2
130,02177caefe7c07d4,UFC 220: Miocic vs. Ngannou
131,fc1868f56d3036eb,UFC Fight Night: Stephens vs. Choi
132,04076783ca83d6ae,UFC 219: Cyborg vs. Holm
133,eaa0a728cc91ef60,UFC Fight Night: Lawler vs. Dos Anjos
134,bcd124bcd3d5be46,UFC Fight Night: Swanson vs. Ortega
135,9e30f69cc0869301,UFC 218: Holloway vs. Aldo 2
136,30e8b4505f5ccf92,The Ultimate Fighter: A New World Champion Finale
137,e7bc606d269896aa,UFC Fight Night: Bisping vs. Gastelum
138,caced97768818230,UFC Fight Night: Werdum vs. Tybura
139,d856a0080ac09ed7,UFC Fight Night: Poirier vs. Pettis
140,a25b71fe5e31fa97,UFC 217: Bisping vs. St-Pierre
141,a7724f51e32e763e,UFC Fight Night: Brunson vs. Machida
142,d6b68eaf4b68b160,UFC Fight Night: Cerrone vs. Till
143,cc5834a495d1ea08,UFC 216: Ferguson vs. Lee
144,9211aae062b799d6,UFC Fight Night: Saint Preux vs. Okami
145,1979c80150f630c4,UFC Fight Night: Rockhold vs. Branch
146,d86e913c548c07c2,UFC 215: Nunes vs Shevchenko 2
147,a3244e3238541482,UFC Fight Night: Volkov vs. Struve
148,f4a031ac205ac580,UFC Fight Night: Pettis vs. Moreno
149,ff9578cdbfabd323,UFC 214: Cormier vs. Jones 2
150,9f3d6ddef3d3cccc,UFC Fight Night: Weidman vs. Gastelum
151,d7907a9a968e4d29,UFC Fight Night: Nelson vs. Ponzinibbio
152,686cccbf1a4de453,UFC 213: Romero vs. Whittaker
153,23bd78c3f89bdb54,The Ultimate Fighter: Redemption Finale
154,99bf06f20491cb54,UFC Fight Night: Chiesa vs. Lee
155,353de740bb6c7e75,UFC Fight Night: Holm vs. Correia
156,90e7447d8b7f3f35,UFC Fight Night: Lewis vs. Hunt
157,1507214bbc7a79e2,UFC 212: Aldo vs. Holloway
158,1c7cce2f5c17160d,UFC Fight Night: Gustafsson vs. Teixeira
159,5df10509264586e5,UFC 211: Miocic vs. Dos Santos
160,bc7f7f0ba3db74d2,UFC Fight Night: Swanson vs. Lobov
161,ed069a95aaaf4f56,UFC on FOX: Johnson vs. Reis
162,e7bfdb5e0112891e,UFC 210: Cormier vs. Johnson 2
163,c0231720fe516994,UFC Fight Night: Manuwa vs. Anderson
164,47b7e4e60813b7b2,UFC Fight Night: Belfort vs. Gastelum
165,20e403a1acfef130,UFC 209: Woodley vs. Thompson 2
166,b4ad3a06ee4d660c,UFC Fight Night: Lewis vs. Browne
167,865aa315ea62c511,UFC 208: Holm vs. De Randamie
168,6a8a06b542e1516d,UFC Fight Night: Bermudez vs. The Korean Zombie
169,4512e46543b960ad,UFC on FOX: Shevchenko vs. Pena
170,46effbd1135423c5,UFC Fight Night: Rodriguez vs. Penn
