,fight_id
1,2c13b938e0f8190b
2,4944437e73071671
3,d15a87087b6f1452
4,70aa6b8f863e6861
5,01f262b68a6a2223
6,dc48627a5f2daba9
7,18c67631b76c18e5
8,bb7ce8a6ba7f7cc5
9,03bdbf2d18f3025d
10,a6828a6dfb21d33c
11,e8adfbbe0053c321
12,8a7b0cd5ad9ca4fe
13,d0ebb0551377a1c1
14,7de9867b7cc2b1b1
15,fd92fe0c494d0959
16,15c9cb5f9320c555
17,c06d7bb29bc24d00
18,04a788abbbd1f256
19,f4363f1317b47213
20,5980ab31e4718a83
21,ae5d14a9fc1ad19c
22,873306ad79b62f5e
23,2704d31de2c2f43b
24,d170f6580e1c244f
25,7ad09f889d2cdb6f
26,50ef636148fa6fac
27,e2abba69c3371618
28,c096342c57a6f2c4
29,4a704dae3091adaf
30,3a4e2dffcdd1c838
31,f3ad8ad8d242678e
32,c2ee423d1f0b4f6f
33,6a0341234ecc4e87
34,3eac2d47ac252f4b
35,a7315147a7022a93
36,11a83369d49ad138
37,bc86601cf781a89c
38,b12bc15f384ecc42
39,a4814d682954e8ab
40,82243207b4dfce87
41,8f7328fe18806fb0
42,05ceb8b2f93993a6
43,15b1c7ddc4415fdd
44,931fd51ab69fb443
45,990c2378caec68d4
46,e175c1a0bff30187
47,1d892fec31dc7ad7
48,b9cd4910f0ecff45
49,c3b6aa47e7532a7b
50,be94e5b7a35ce5f2
51,25b8c932da5e91f4
52,26fbf026beb8e9f8
53,54e2490959f66dc2
54,9201312dd860fa5a
55,96b1430379c0694a
56,8cf076524cad5a55
57,17616514e8fdacb9
58,f98e954823bd6e02
59,357c5b86ec83b826
60,8b9bdacca749ec90
61,9ef858837dfc65eb
62,f4fbb11055301e75
63,2c81668d1459991f
64,bbade63ca780668f
65,af8ea6db042674ef
66,464cc19d42446da9
67,8c34e1e0d842618d
68,d65da3a3bc675449
69,86d6e09932c5b551
70,eb4e9ec015533ab4
71,3ac61bcb406e1a0c
72,3d3e7dc7b4bf2bc4
73,a5075f4eaee6036f
74,c4ea3f6fae702459
75,65352221c0bfe52d
76,cd08b68f0bafafbf
77,99dbe9669f31ed91
78,92f569a6d9374b86
79,83da743f6dda7dcc
80,c597fd8bb66d54d8
81,f3ccbfd7036f3cf3
82,aaf45b095452be23
83,61bedad39b15db7a
84,dd34dd337e637767
85,4f6d3cdf2c77fb57
86,a003e8305d4dbdc8
87,57e784028ef2c17d
88,d27ac1bc677b89cf
89,ac475de5a3d0d7e2
90,4abcf14faa7f92f2
91,ddbe6fd66d7f9e35
92,76b61ff4c9760f79
93,4e451881e0e47b05
94,031e6624f96aceb8
95,11558384f80f6506
96,ae38fb2a6b6a0cc1
97,a4817b7e46028b4a
98,6b0da0b1cda7799f
99,aeb7ff8ce6e1beac
100,775c1f401815bbd8
101,358f816aff469270
102,97ad63e644757cf4
103,0165bd3c26f0c076
104,3fcd53eb27945231
105,97c80f69ac312030
106,3d903bc35023f50a
107,c7375d5db21cbaae
108,014f1da2083ca174
109,3d35eb2d46bf74de
110,8955ea3c7c332e6c
111,cd150cd28738a7c5
112,1c4602efe5587902
113,4cb249714ff56656
114,f004d3d50b78af50
115,f2fb049980631302
116,0fe4906754b2d0f9
117,62e6eadbb2805760
118,8da75fd76a9b8e1d
119,c258996570faeec9
120,b7b867eb3c3cf163
121,27200d53ba9020b8
122,4a172a5191cb8e60
123,fe3ff5b1d9135add
124,022bdd58cc6e571d
125,cb7616f92a9a4e5b
126,87d0b767742d3239
127,5ddf45e816a50fac
128,33d52ac2d70b8415
129,2723f4d275d3f619
130,8d4a475e48722fea
131,46860358da8b8d82
132,4478ee77a647ae9d
133,856fab879c68ded7
134,771d8ce136a12a13
135,b1be8b41b1a4fd85
136,c4d1c4b82cf34afb
137,09a29fb09fe07559
138,28b6ee9c3eb8b753
139,32a7da2f34ae3803
140,181c3312f14de5a8
141,2a7909acde26a240
142,4d56bcd82438e632
143,0c27552ea7bc8c8a
144,711f00d287344c77
145,8868957c1735bcf0
146,e64d80dcc6853ea0
147,3c098e2946b4c824
148,c93eebe24aa0299d
149,2b13651b97f57b6c
150,08ef2ed7393efd24
151,1671723154d8e324
152,8d5ea3bf3be7cb91
153,6c1b38dd918793ff
154,a485281be8e9d2e2
155,e22d5aab3d099c7c
156,a02764f92a84dd36
157,90eb22b9eb6ed2a8
158,91afc389191d41fb
159,80cb3cf9134b677c
160,30eb24f7904c2128
161,34db1e0e2499e7ae
162,fa6e8fa6c3f05e31
163,742dc4196d329db0
164,470391c4067bf49b
165,9e4dcac049327529
