,id,fighter_name,total_wins,total_losses,total_draws,total_nc,height,weight,reach,stance,dob,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,td_acc,sub_avg
35,80daefbed11ce998,Alejandro Perez,22,8,1,0,"5'6""",145,"67""",Orthodox,"Sep,02,1989",3.52,35%,2.94,64%,0.52,20%,73%,20%,0.1
36,c2a670b22d2e196f,Aleksa Camur,6,1,0,0,"6'1""",205,"74""",Orthodox,"Sep,25,1995",3.94,54%,2.49,57%,0.84,33%,20%,33%,0.0
37,333b9e5c723ac873,Aleksandar Rakic,14,2,0,0,"6'4""",205,"78""",Orthodox,"Feb,06,1992",4.23,52%,2.23,52%,0.75,25%,90%,25%,0.2
38,e76d9f656ceb82ab,Aleksandra Albu,3,2,0,0,"5'2""",115,"63""",Orthodox,"Jul,14,1990",4.83,47%,5.56,38%,2.27,50%,77%,50%,0.4
39,e2ccd9a9ace60de7,Aleksei Kunchenko,20,2,0,0,"5'8""",170,"70""",Orthodox,"May,02,1984",3.67,44%,2.83,63%,0.25,33%,80%,33%,0.0
40,98c23cb6da5b3352,Aleksei Oleinik,59,15,1,0,"6'2""",240,"80""",Orthodox,"Jun,20,1977",3.47,50%,3.85,44%,2.38,46%,33%,46%,2.4
41,70fa1c64a2c439ef,Alen Amedovski,8,2,0,0,"5'10""",185,"74""",Orthodox,"Apr,06,1988",0.52,28%,3.14,37%,0.00,0%,0%,0%,0.0
42,77d7295d1b22c694,Alessio Di Chirico,13,5,0,0,"6'0""",185,"74""",Orthodox,"Dec,12,1989",3.30,41%,3.24,62%,1.62,45%,83%,45%,0.0
43,7f955f71fa2ce7ac,Alessio Sakara,19,11,0,2,"6'0""",185,"72""",Orthodox,"Sep,02,1981",3.96,47%,2.80,59%,2.18,78%,62%,78%,0.0
44,1562b12763cc8d67,Alex Andrade,10,5,0,0,"5'11""",200,--,Orthodox,"May,14,1974",0.20,36%,2.60,53%,0.00,0%,25%,0%,0.8
45,7aa3d6964eff4877,Alex Caceres,18,12,0,1,"5'10""",145,"73""",Southpaw,"Jun,20,1988",4.10,50%,2.82,65%,0.57,78%,64%,78%,0.8
46,26b63bc5c0c1f65d,Alex Chambers,5,5,0,0,"5'3""",115,"63""",Southpaw,"Oct,25,1978",2.97,54%,5.10,50%,2.31,41%,53%,41%,1.0
47,c3ded6f7155f9ea4,Alex Da Silva,21,3,0,0,"5'8""",155,"73""",Orthodox,"Feb,04,1996",2.07,46%,2.65,55%,2.75,43%,77%,43%,0.4
48,a2b12c3f3d60ff69,Alex Garcia,15,6,0,0,"5'9""",170,"72""",Orthodox,"Jul,14,1987",1.81,31%,3.03,59%,3.72,52%,66%,52%,0.1
49,803bebcfb6d6f506,Alex Gorgees,6,1,0,0,"6'2""",155,"74""",Switch,"Aug,11,1995",0.67,32%,2.27,38%,0.00,0%,54%,0%,0.0
50,baa5358456803df8,Alex Hunter,2,0,0,0,"5'9""",226,--,Orthodox,"--,",0.00,0%,0.00,0%,0.00,0%,0%,0%,0.0
51,e361e5c858af6ff1,Alex Karalexis,10,6,0,0,"5'8""",155,"66""",Orthodox,"Sep,20,1977",2.57,42%,2.39,54%,2.70,45%,86%,45%,0.9
52,cdb96af67d096b1e,Alex Morono,18,7,0,1,"5'11""",170,"72""",Orthodox,"Aug,16,1990",4.96,42%,3.69,56%,0.44,28%,47%,28%,0.4
53,2b6d855c6e280fb1,Alex Nicholson,7,4,0,0,"6'4""",185,"77""",Orthodox,"May,02,1990",4.12,43%,4.65,47%,0.00,0%,50%,0%,0.5
54,57b10fca4f9c9a7a,Alex Oliveira,22,9,1,2,"5'11""",170,"76""",Orthodox,"Feb,21,1988",2.87,50%,2.18,48%,2.41,37%,63%,37%,0.6
55,ab2b4ff41d6ebe0f,Alex Perez,24,6,0,0,"5'6""",125,"65""",Orthodox,"Mar,21,1992",4.62,47%,3.08,61%,2.92,45%,87%,45%,1.3
56,dc07493a87dc0a6e,Alex Reyes,13,3,0,0,"5'11""",170,"73""",Orthodox,"Oct,02,1986",4.56,46%,8.35,38%,0.00,0%,0%,0%,0.0
57,bf9bc96336922271,Alex Ricci,10,5,0,0,"5'11""",155,--,Orthodox,"Jul,21,1982",2.48,41%,2.53,64%,0.00,0%,64%,0%,0.0
58,fdfef29ba17ee525,Alex Schoenauer,15,10,0,0,"6'3""",185,--,Orthodox,"May,05,1976",1.22,40%,2.27,42%,0.00,0%,22%,0%,4.9
59,d18dbcb0f8e2b55d,Alex Soto,8,3,1,0,"5'8""",135,--,Southpaw,"Feb,15,1984",2.95,25%,5.02,59%,2.82,30%,0%,30%,0.0
60,df5a77121ba84a5d,Alex Stiebling,19,11,1,1,"6'2""",205,--,Southpaw,"--,",1.77,42%,1.45,52%,0.35,66%,66%,66%,0.7
61,e4e0f310b3cf23a8,Alex Torres,5,4,0,0,"5'10""",145,--,Orthodox,"May,29,1988",2.47,37%,2.73,69%,2.00,22%,50%,22%,0.0
62,c17041f1bb5768d8,Alex White,13,6,0,0,"6'0""",155,"71""",Southpaw,"Oct,22,1988",3.76,42%,3.07,60%,0.92,28%,71%,28%,0.5
63,e8b731feff72294b,Alexa Grasso,13,3,0,0,"5'5""",125,"66""",Orthodox,"Aug,09,1993",4.96,43%,3.61,64%,0.28,40%,60%,40%,0.6
64,3c6976f8182d9527,Alexander Gustafsson,18,7,0,0,"6'5""",205,"79""",Orthodox,"Jan,15,1987",4.02,40%,3.42,51%,1.54,39%,83%,39%,0.4
65,262a7d06203657e6,Alexander Hernandez,12,4,0,0,"5'9""",155,"72""",Orthodox,"Oct,01,1992",3.57,35%,3.81,59%,1.60,38%,62%,38%,0.0
66,f8f1ec513bcfef43,Alexander Munoz,6,1,0,0,"5'9""",155,"72""",Switch,"Feb,27,1990",3.27,40%,5.23,52%,2.50,35%,0%,35%,0.0
67,e1248941344b3288,Alexander Volkanovski,22,1,0,0,"5'6""",145,"71""",Orthodox,"Sep,29,1988",6.02,55%,3.31,60%,2.09,34%,72%,34%,0.3
68,279566840aa55bf2,Alexander Volkov,33,8,0,0,"6'7""",250,"80""",Orthodox,"Oct,24,1988",4.88,59%,2.48,56%,0.66,70%,66%,70%,0.2
69,d06f8869449ba7bd,Alexander Yakovlev,24,10,1,0,"6'3""",155,"74""",Southpaw,"Jul,18,1984",1.74,47%,2.41,58%,1.66,35%,72%,35%,0.1
70,c0badf3243907e59,Alexandr Romanov,13,0,0,0,"6'2""",262,"75""",Southpaw,"Dec,11,1990",4.31,39%,1.76,43%,6.35,66%,0%,66%,3.2
71,8fd1f27e86661ede,Alexandre Barros,22,11,0,0,"5'9""",170,--,Southpaw,"Nov,19,1976",0.98,40%,4.05,36%,1.84,50%,100%,50%,0.0
72,8dc46e9a7895ce1a,Alexandre Dantas,0,3,0,0,"6'2""",238,--,Orthodox,"Mar,01,1979",0.21,25%,1.87,60%,0.00,0%,0%,0%,3.1
73,28ba5f27e473420c,Alexandre Ferreira,18,6,0,0,"5'7""",205,--,Orthodox,"Apr,25,1979",2.57,60%,8.14,42%,0.00,0%,0%,0%,0.0
74,a0f0004aadf10b71,Alexandre Pantoja,23,5,0,0,"5'5""",125,"67""",Orthodox,"Apr,16,1990",4.30,47%,3.39,53%,0.94,35%,68%,35%,0.9
75,4c2d90e335e6df19,Alexis Davis,20,10,0,0,"5'6""",135,"68""",Orthodox,"Oct,04,1984",4.18,47%,4.18,55%,0.94,40%,34%,40%,0.8
76,4ae4049426e0161d,Alexis Dufresne,6,3,0,0,"5'9""",135,--,Orthodox,"Aug,31,1990",1.33,27%,3.33,60%,1.50,50%,50%,50%,0.0
