,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
1,0,5 of 8,62%,32 of 36,2 of 2,100%,0,0,3:44,5 of 8,0 of 0,0 of 0,0 of 1,1 of 1,4 of 6,0,4 of 5,80%,8 of 10,1 of 2,50%,0,0,0:44,2 of 2,2 of 3,0 of 0,0 of 1,2 of 2,2 of 2
2,0,11 of 22,50%,26 of 39,0 of 0,---,1,1,3:31,11 of 22,0 of 0,0 of 0,3 of 6,0 of 0,8 of 16,0,7 of 18,38%,10 of 21,0 of 1,0%,0,0,0:31,2 of 11,3 of 5,2 of 2,4 of 14,2 of 3,1 of 1
3,0,13 of 29,44%,24 of 42,2 of 3,66%,0,0,3:10,9 of 25,3 of 3,1 of 1,2 of 12,3 of 3,8 of 14,0,11 of 21,52%,15 of 26,0 of 2,0%,0,0,1:04,3 of 10,7 of 8,1 of 3,4 of 12,7 of 9,0 of 0
