,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
1,0,7 of 11,63%,45 of 52,1 of 1,100%,0,0,4:45,7 of 11,0 of 0,0 of 0,0 of 0,0 of 0,7 of 11,0,1 of 1,100%,13 of 13,0 of 0,---,1,0,0:05,1 of 1,0 of 0,0 of 0,1 of 1,0 of 0,0 of 0
2,0,2 of 6,33%,33 of 41,0 of 0,---,0,1,4:13,2 of 6,0 of 0,0 of 0,0 of 2,0 of 0,2 of 4,1,3 of 5,60%,15 of 19,0 of 0,---,2,1,0:36,2 of 4,0 of 0,1 of 1,2 of 2,0 of 1,1 of 2
3,0,9 of 12,75%,66 of 73,2 of 2,100%,2,0,4:44,4 of 7,5 of 5,0 of 0,0 of 2,0 of 0,9 of 10,0,0 of 1,0%,10 of 11,0 of 0,---,0,0,0:00,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0
4,0,11 of 18,61%,44 of 51,5 of 7,71%,0,0,4:16,7 of 14,4 of 4,0 of 0,1 of 6,0 of 0,10 of 12,0,1 of 12,8%,8 of 19,0 of 0,---,0,0,0:00,1 of 12,0 of 0,0 of 0,1 of 10,0 of 1,0 of 1
5,0,6 of 8,75%,27 of 32,8 of 9,88%,0,0,4:24,4 of 6,1 of 1,1 of 1,1 of 3,1 of 1,4 of 4,0,1 of 4,25%,13 of 17,0 of 0,---,0,0,0:00,1 of 4,0 of 0,0 of 0,0 of 3,1 of 1,0 of 0
