,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
1,0,31 of 77,40%,31 of 77,0 of 1,0%,0,0,0:00,22 of 66,1 of 3,8 of 8,30 of 75,1 of 2,0 of 0,0,35 of 94,37%,35 of 94,0 of 0,---,0,0,0:00,23 of 78,7 of 11,5 of 5,32 of 89,3 of 5,0 of 0
2,0,21 of 66,31%,21 of 66,0 of 1,0%,0,0,0:00,10 of 48,4 of 9,7 of 9,21 of 66,0 of 0,0 of 0,0,27 of 78,34%,27 of 78,0 of 0,---,0,0,0:00,17 of 65,4 of 6,6 of 7,27 of 77,0 of 1,0 of 0
3,0,9 of 25,36%,16 of 32,2 of 3,66%,0,0,0:52,7 of 22,1 of 1,1 of 2,6 of 19,2 of 3,1 of 3,0,20 of 42,47%,37 of 65,0 of 0,---,0,1,2:58,15 of 37,4 of 4,1 of 1,16 of 36,2 of 2,2 of 4
