,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
1,0,5 of 24,20%,10 of 29,0 of 3,0%,0,0,0:15,5 of 23,0 of 1,0 of 0,5 of 19,0 of 5,0 of 0,0,10 of 30,33%,13 of 33,0 of 0,---,0,0,0:01,8 of 27,2 of 3,0 of 0,6 of 24,3 of 5,1 of 1
2,0,13 of 25,52%,17 of 29,0 of 3,0%,0,0,1:21,10 of 21,2 of 3,1 of 1,10 of 21,3 of 4,0 of 0,0,12 of 33,36%,15 of 36,0 of 0,---,0,0,0:00,8 of 29,3 of 3,1 of 1,4 of 25,8 of 8,0 of 0
3,0,21 of 38,55%,39 of 58,0 of 2,0%,0,0,2:06,17 of 33,3 of 4,1 of 1,17 of 30,4 of 8,0 of 0,0,18 of 28,64%,25 of 35,0 of 0,---,0,0,0:00,8 of 18,8 of 8,2 of 2,9 of 18,9 of 10,0 of 0
