,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
1,0,18 of 44,40%,29 of 55,1 of 1,100%,0,0,0:46,9 of 32,3 of 4,6 of 8,17 of 43,0 of 0,1 of 1,0,2 of 34,5%,2 of 34,0 of 0,---,1,0,0:00,1 of 33,1 of 1,0 of 0,2 of 33,0 of 1,0 of 0
2,0,7 of 19,36%,7 of 19,0 of 0,---,1,0,0:00,3 of 14,0 of 1,4 of 4,7 of 19,0 of 0,0 of 0,0,1 of 22,4%,1 of 22,1 of 1,100%,0,0,0:23,1 of 22,0 of 0,0 of 0,1 of 22,0 of 0,0 of 0
