,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
1,0,18 of 48,37%,18 of 48,0 of 0,---,0,1,0:17,4 of 25,5 of 11,9 of 12,18 of 46,0 of 2,0 of 0,0,16 of 34,47%,23 of 41,1 of 2,50%,1,0,0:29,4 of 12,8 of 11,4 of 11,15 of 33,0 of 0,1 of 1
2,0,20 of 66,30%,20 of 66,0 of 0,---,0,0,0:00,4 of 42,6 of 12,10 of 12,20 of 66,0 of 0,0 of 0,0,19 of 36,52%,20 of 37,0 of 1,0%,0,0,0:00,9 of 17,8 of 12,2 of 7,17 of 34,2 of 2,0 of 0
3,0,25 of 62,40%,30 of 67,0 of 0,---,0,0,0:00,11 of 38,7 of 14,7 of 10,23 of 60,2 of 2,0 of 0,0,19 of 41,46%,19 of 41,1 of 2,50%,1,0,0:34,8 of 22,8 of 13,3 of 6,16 of 36,2 of 3,1 of 2
