,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
1,1,12 of 28,42%,18 of 38,0 of 0,---,0,0,0:00,5 of 15,1 of 3,6 of 10,12 of 28,0 of 0,0 of 0,0,7 of 19,36%,7 of 19,0 of 1,0%,0,0,0:00,6 of 18,1 of 1,0 of 0,7 of 19,0 of 0,0 of 0
2,0,16 of 41,39%,18 of 43,0 of 0,---,0,0,0:00,4 of 20,6 of 11,6 of 10,16 of 39,0 of 2,0 of 0,0,9 of 36,25%,9 of 36,1 of 3,33%,0,0,1:01,8 of 33,0 of 2,1 of 1,8 of 33,1 of 3,0 of 0
3,0,19 of 35,54%,21 of 38,0 of 0,---,0,0,0:00,8 of 18,6 of 10,5 of 7,19 of 35,0 of 0,0 of 0,0,13 of 36,36%,14 of 38,0 of 2,0%,0,0,0:36,9 of 31,2 of 3,2 of 2,13 of 36,0 of 0,0 of 0
