,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
1,0,17 of 40,42%,17 of 40,0 of 1,0%,0,0,0:02,10 of 25,3 of 7,4 of 8,17 of 40,0 of 0,0 of 0,0,24 of 52,46%,24 of 52,0 of 0,---,0,0,0:00,6 of 28,6 of 11,12 of 13,22 of 50,0 of 0,2 of 2
2,0,17 of 43,39%,17 of 43,0 of 1,0%,0,0,0:00,8 of 32,3 of 5,6 of 6,17 of 43,0 of 0,0 of 0,0,16 of 41,39%,16 of 41,0 of 0,---,0,0,0:00,10 of 29,1 of 4,5 of 8,16 of 39,0 of 2,0 of 0
3,0,16 of 40,40%,16 of 40,0 of 0,---,0,0,0:00,9 of 29,4 of 7,3 of 4,16 of 40,0 of 0,0 of 0,0,14 of 40,35%,14 of 40,0 of 0,---,0,0,0:00,9 of 30,3 of 6,2 of 4,14 of 40,0 of 0,0 of 0
