,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
1,0,7 of 20,35%,18 of 35,3 of 3,100%,0,0,4:00,0 of 13,2 of 2,5 of 5,0 of 13,4 of 4,3 of 3,0,9 of 24,37%,10 of 25,0 of 0,---,0,0,0:00,4 of 19,0 of 0,5 of 5,9 of 24,0 of 0,0 of 0
2,0,11 of 24,45%,11 of 24,1 of 5,20%,0,0,3:28,1 of 13,1 of 1,9 of 10,3 of 15,6 of 7,2 of 2,0,8 of 35,22%,19 of 48,0 of 0,---,0,0,0:00,4 of 30,1 of 2,3 of 3,6 of 32,2 of 3,0 of 0
3,0,9 of 20,45%,15 of 26,2 of 3,66%,1,0,3:43,3 of 14,5 of 5,1 of 1,3 of 14,1 of 1,5 of 5,0,7 of 25,28%,12 of 30,0 of 0,---,0,0,0:00,5 of 22,1 of 1,1 of 2,5 of 16,2 of 9,0 of 0
