,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
1,0,15 of 25,60%,27 of 37,1 of 2,50%,0,0,0:33,5 of 11,1 of 1,9 of 13,11 of 17,1 of 4,3 of 4,0,7 of 16,43%,14 of 23,0 of 1,0%,0,0,1:20,5 of 13,0 of 0,2 of 3,6 of 15,1 of 1,0 of 0
2,0,15 of 23,65%,21 of 32,1 of 1,100%,0,0,0:52,7 of 11,5 of 6,3 of 6,10 of 18,4 of 4,1 of 1,0,11 of 28,39%,28 of 45,1 of 2,50%,0,0,1:27,4 of 19,5 of 7,2 of 2,7 of 22,4 of 6,0 of 0
3,0,18 of 41,43%,42 of 65,0 of 0,---,1,0,0:34,4 of 22,7 of 9,7 of 10,11 of 33,7 of 8,0 of 0,0,8 of 28,28%,20 of 40,0 of 2,0%,0,0,1:38,4 of 23,3 of 4,1 of 1,5 of 24,3 of 4,0 of 0
