,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
1,0,24 of 43,55%,48 of 69,0 of 1,0%,0,0,1:27,11 of 26,13 of 16,0 of 1,6 of 22,18 of 21,0 of 0,0,16 of 26,61%,30 of 40,0 of 0,---,0,0,0:12,6 of 15,6 of 7,4 of 4,8 of 17,8 of 9,0 of 0
2,0,23 of 38,60%,47 of 66,0 of 2,0%,0,0,2:01,12 of 23,7 of 10,4 of 5,4 of 16,19 of 22,0 of 0,0,29 of 37,78%,39 of 48,0 of 0,---,0,0,0:52,23 of 31,5 of 5,1 of 1,10 of 16,19 of 21,0 of 0
3,0,30 of 65,46%,44 of 82,0 of 3,0%,0,0,2:20,19 of 53,5 of 6,6 of 6,13 of 42,17 of 23,0 of 0,0,14 of 24,58%,20 of 31,0 of 0,---,0,0,0:00,11 of 21,2 of 2,1 of 1,9 of 18,5 of 6,0 of 0
