,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
1,0,9 of 30,30%,12 of 33,0 of 0,---,0,0,0:45,1 of 16,3 of 7,5 of 7,5 of 26,3 of 3,1 of 1,0,6 of 19,31%,6 of 19,0 of 2,0%,0,0,0:41,2 of 13,1 of 1,3 of 5,4 of 17,2 of 2,0 of 0
2,0,17 of 34,50%,17 of 34,0 of 1,0%,0,0,0:28,6 of 22,3 of 4,8 of 8,14 of 31,0 of 0,3 of 3,0,4 of 19,21%,8 of 23,0 of 0,---,0,0,0:45,1 of 10,2 of 5,1 of 4,4 of 19,0 of 0,0 of 0
3,0,4 of 15,26%,9 of 20,0 of 0,---,0,0,0:24,0 of 10,1 of 2,3 of 3,2 of 13,2 of 2,0 of 0,0,4 of 18,22%,21 of 36,1 of 1,100%,0,0,3:16,4 of 15,0 of 1,0 of 2,2 of 13,0 of 0,2 of 5
