,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
1,0,16 of 29,55%,21 of 34,0 of 0,---,0,0,0:03,4 of 15,5 of 7,7 of 7,7 of 20,9 of 9,0 of 0,0,10 of 23,43%,13 of 27,1 of 6,16%,0,0,2:09,3 of 12,2 of 6,5 of 5,7 of 20,2 of 2,1 of 1
2,0,11 of 21,52%,36 of 48,1 of 2,50%,0,0,1:58,5 of 15,6 of 6,0 of 0,3 of 11,2 of 2,6 of 8,0,4 of 6,66%,7 of 11,2 of 2,100%,0,0,1:48,1 of 2,1 of 2,2 of 2,4 of 5,0 of 1,0 of 0
3,0,19 of 42,45%,41 of 66,1 of 2,50%,0,0,0:41,13 of 35,5 of 6,1 of 1,10 of 28,7 of 9,2 of 5,0,16 of 34,47%,16 of 34,0 of 4,0%,0,0,0:45,11 of 27,1 of 2,4 of 5,14 of 31,2 of 3,0 of 0
