,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
1,0,5 of 18,27%,5 of 18,0 of 1,0%,0,0,0:00,4 of 15,0 of 2,1 of 1,4 of 17,1 of 1,0 of 0,0,3 of 32,9%,24 of 55,0 of 1,0%,0,0,0:55,3 of 32,0 of 0,0 of 0,3 of 30,0 of 2,0 of 0
2,0,8 of 35,22%,19 of 46,0 of 0,---,0,0,0:21,7 of 33,1 of 2,0 of 0,8 of 35,0 of 0,0 of 0,0,4 of 36,11%,4 of 36,0 of 2,0%,0,0,0:06,4 of 36,0 of 0,0 of 0,4 of 36,0 of 0,0 of 0
3,0,8 of 28,28%,10 of 32,1 of 1,100%,0,1,1:51,8 of 28,0 of 0,0 of 0,1 of 10,0 of 0,7 of 18,0,0 of 4,0%,1 of 7,1 of 1,100%,0,0,0:27,0 of 4,0 of 0,0 of 0,0 of 4,0 of 0,0 of 0
