,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
1,0,27 of 49,55%,35 of 58,1 of 1,100%,0,0,1:51,19 of 39,5 of 7,3 of 3,19 of 37,7 of 10,1 of 2,0,20 of 27,74%,23 of 30,0 of 0,---,0,0,0:40,7 of 13,12 of 13,1 of 1,7 of 11,13 of 16,0 of 0
2,2,43 of 80,53%,50 of 88,0 of 0,---,0,0,0:44,31 of 65,8 of 11,4 of 4,27 of 49,14 of 25,2 of 6,0,9 of 24,37%,10 of 26,0 of 0,---,0,0,0:00,3 of 16,4 of 6,2 of 2,8 of 20,1 of 4,0 of 0
