,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
1,0,43 of 61,70%,59 of 79,1 of 2,50%,2,2,3:07,39 of 57,4 of 4,0 of 0,1 of 1,0 of 0,42 of 60,0,3 of 7,42%,7 of 11,0 of 0,---,1,2,1:29,2 of 6,1 of 1,0 of 0,1 of 5,1 of 1,1 of 1
2,0,39 of 52,75%,79 of 99,2 of 4,50%,5,1,3:56,36 of 49,3 of 3,0 of 0,2 of 4,0 of 0,37 of 48,0,1 of 1,100%,1 of 1,0 of 0,---,0,0,0:20,0 of 0,0 of 0,1 of 1,1 of 1,0 of 0,0 of 0
