,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
1,0,12 of 25,48%,19 of 32,0 of 1,0%,0,0,0:08,5 of 15,5 of 8,2 of 2,9 of 22,3 of 3,0 of 0,0,17 of 34,50%,39 of 64,1 of 2,50%,0,0,2:31,4 of 20,6 of 6,7 of 8,10 of 25,5 of 7,2 of 2
2,0,16 of 20,80%,27 of 32,2 of 2,100%,0,1,1:34,7 of 10,7 of 8,2 of 2,11 of 15,4 of 4,1 of 1,0,8 of 18,44%,24 of 36,1 of 2,50%,0,0,2:06,1 of 11,6 of 6,1 of 1,4 of 13,4 of 5,0 of 0
3,0,16 of 32,50%,35 of 57,0 of 0,---,0,2,0:12,11 of 26,1 of 2,4 of 4,8 of 23,1 of 1,7 of 8,0,6 of 22,27%,18 of 41,1 of 2,50%,0,0,1:52,2 of 18,2 of 2,2 of 2,4 of 13,1 of 1,1 of 8
