,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
1,0,27 of 46,58%,40 of 64,4 of 8,50%,0,0,2:35,17 of 36,4 of 4,6 of 6,10 of 17,1 of 1,16 of 28,0,4 of 20,20%,25 of 47,0 of 0,---,0,0,0:00,3 of 17,0 of 0,1 of 3,4 of 19,0 of 1,0 of 0
2,0,13 of 25,52%,23 of 45,5 of 6,83%,2,0,3:25,8 of 19,3 of 4,2 of 2,5 of 16,0 of 0,8 of 9,0,5 of 14,35%,13 of 25,0 of 0,---,0,0,0:02,1 of 10,3 of 3,1 of 1,2 of 9,3 of 5,0 of 0
3,0,33 of 57,57%,47 of 78,4 of 4,100%,0,0,3:15,22 of 44,6 of 7,5 of 6,8 of 21,2 of 2,23 of 34,0,5 of 23,21%,11 of 31,0 of 0,---,0,0,0:00,1 of 19,2 of 2,2 of 2,4 of 15,1 of 8,0 of 0
