,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
1,0,9 of 29,31%,9 of 29,0 of 0,---,0,0,0:00,3 of 20,4 of 7,2 of 2,9 of 29,0 of 0,0 of 0,0,26 of 47,55%,26 of 47,0 of 0,---,0,0,0:00,7 of 27,8 of 9,11 of 11,26 of 47,0 of 0,0 of 0
2,0,35 of 61,57%,35 of 61,0 of 1,0%,0,0,0:41,22 of 45,12 of 15,1 of 1,28 of 53,7 of 8,0 of 0,0,34 of 53,64%,34 of 53,0 of 0,---,0,0,0:00,23 of 40,7 of 9,4 of 4,32 of 50,2 of 3,0 of 0
3,0,33 of 52,63%,33 of 52,0 of 0,---,0,0,0:00,21 of 38,12 of 14,0 of 0,27 of 46,6 of 6,0 of 0,0,26 of 48,54%,49 of 71,0 of 2,0%,0,0,1:53,20 of 40,5 of 6,1 of 2,16 of 36,10 of 12,0 of 0
