,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
1,0,16 of 42,38%,28 of 55,0 of 0,---,1,0,2:46,10 of 35,4 of 5,2 of 2,2 of 15,12 of 23,2 of 4,0,6 of 11,54%,13 of 18,1 of 6,16%,0,0,0:36,4 of 9,1 of 1,1 of 1,1 of 2,5 of 9,0 of 0
2,0,10 of 26,38%,57 of 79,0 of 0,---,0,0,4:08,6 of 21,3 of 3,1 of 2,4 of 14,2 of 3,4 of 9,0,1 of 7,14%,18 of 25,0 of 1,0%,0,0,0:00,0 of 5,0 of 1,1 of 1,1 of 7,0 of 0,0 of 0
3,0,11 of 31,35%,45 of 65,0 of 0,---,0,0,2:49,10 of 29,1 of 2,0 of 0,2 of 17,3 of 4,6 of 10,0,1 of 4,25%,13 of 18,0 of 5,0%,0,0,0:02,0 of 2,1 of 2,0 of 0,0 of 3,1 of 1,0 of 0
