,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
1,1,14 of 50,28%,27 of 63,0 of 0,---,1,0,0:35,10 of 46,3 of 3,1 of 1,13 of 46,1 of 4,0 of 0,0,25 of 63,39%,31 of 69,0 of 0,---,0,0,0:42,24 of 62,0 of 0,1 of 1,16 of 49,9 of 14,0 of 0
2,0,7 of 31,22%,58 of 85,0 of 0,---,1,1,2:01,5 of 27,1 of 3,1 of 1,7 of 30,0 of 1,0 of 0,0,9 of 26,34%,16 of 33,0 of 1,0%,0,0,1:21,8 of 25,0 of 0,1 of 1,5 of 19,1 of 2,3 of 5
3,1,6 of 15,40%,48 of 67,0 of 0,---,1,1,2:59,6 of 15,0 of 0,0 of 0,5 of 14,0 of 0,1 of 1,0,8 of 14,57%,18 of 24,0 of 0,---,0,1,1:24,8 of 13,0 of 0,0 of 1,4 of 9,0 of 0,4 of 5
