,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
1,0,17 of 46,36%,20 of 49,0 of 0,---,0,0,0:02,12 of 41,2 of 2,3 of 3,14 of 37,3 of 9,0 of 0,1,17 of 43,39%,24 of 51,2 of 4,50%,0,0,2:12,16 of 42,1 of 1,0 of 0,11 of 30,2 of 7,4 of 6
2,0,18 of 59,30%,20 of 61,0 of 0,---,0,0,0:00,12 of 53,3 of 3,3 of 3,17 of 55,1 of 4,0 of 0,0,31 of 61,50%,31 of 61,0 of 3,0%,0,0,1:13,28 of 56,0 of 1,3 of 4,23 of 47,8 of 14,0 of 0
3,1,4 of 6,66%,4 of 6,0 of 0,---,0,0,0:02,4 of 6,0 of 0,0 of 0,2 of 4,0 of 0,2 of 2,0,4 of 4,100%,4 of 4,0 of 0,---,0,0,0:00,4 of 4,0 of 0,0 of 0,4 of 4,0 of 0,0 of 0
