,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
1,0,15 of 27,55%,16 of 28,0 of 0,---,0,0,0:01,9 of 20,3 of 4,3 of 3,11 of 23,4 of 4,0 of 0,0,14 of 21,66%,23 of 34,2 of 5,40%,0,0,3:11,8 of 14,4 of 5,2 of 2,8 of 13,5 of 7,1 of 1
2,0,5 of 12,41%,11 of 18,0 of 0,---,0,0,0:00,5 of 11,0 of 1,0 of 0,3 of 9,2 of 3,0 of 0,0,11 of 17,64%,32 of 46,2 of 4,50%,0,0,3:56,7 of 11,2 of 3,2 of 3,2 of 6,4 of 6,5 of 5
3,1,3 of 10,30%,3 of 10,0 of 0,---,0,0,0:01,3 of 10,0 of 0,0 of 0,3 of 10,0 of 0,0 of 0,0,5 of 7,71%,5 of 7,0 of 1,0%,0,0,0:01,4 of 6,0 of 0,1 of 1,4 of 6,1 of 1,0 of 0
