,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
1,1,14 of 47,29%,17 of 50,0 of 1,0%,0,0,0:46,9 of 36,3 of 8,2 of 3,12 of 43,0 of 0,2 of 4,0,17 of 46,36%,26 of 55,1 of 1,100%,0,0,0:57,7 of 33,4 of 6,6 of 7,14 of 41,0 of 0,3 of 5
2,0,22 of 58,37%,26 of 63,0 of 0,---,0,1,0:42,13 of 46,9 of 12,0 of 0,22 of 57,0 of 0,0 of 1,0,30 of 71,42%,34 of 76,1 of 2,50%,1,0,1:11,19 of 59,10 of 11,1 of 1,28 of 68,2 of 3,0 of 0
3,0,26 of 55,47%,26 of 55,0 of 0,---,0,0,0:00,23 of 51,3 of 4,0 of 0,26 of 55,0 of 0,0 of 0,1,27 of 60,45%,27 of 60,0 of 1,0%,0,0,0:00,21 of 52,5 of 7,1 of 1,27 of 60,0 of 0,0 of 0
