,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
1,0,13 of 64,20%,13 of 64,0 of 0,---,0,0,0:00,3 of 40,5 of 12,5 of 12,13 of 64,0 of 0,0 of 0,0,19 of 60,31%,19 of 60,0 of 0,---,0,0,0:00,9 of 43,0 of 1,10 of 16,19 of 60,0 of 0,0 of 0
2,0,21 of 65,32%,21 of 65,0 of 0,---,0,0,0:06,13 of 44,6 of 13,2 of 8,21 of 62,0 of 2,0 of 1,0,15 of 46,32%,16 of 49,1 of 2,50%,0,0,0:36,13 of 41,0 of 2,2 of 3,13 of 41,1 of 1,1 of 4
3,0,10 of 58,17%,10 of 58,0 of 1,0%,0,0,0:24,7 of 49,3 of 8,0 of 1,9 of 56,1 of 1,0 of 1,0,14 of 55,25%,14 of 57,0 of 1,0%,0,0,0:05,13 of 51,1 of 2,0 of 2,13 of 53,1 of 2,0 of 0
