,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
1,0,11 of 14,78%,36 of 39,0 of 0,---,1,2,1:40,7 of 9,3 of 4,1 of 1,1 of 3,3 of 4,7 of 7,0,3 of 7,42%,12 of 17,3 of 3,100%,0,0,2:56,0 of 2,2 of 4,1 of 1,1 of 4,2 of 3,0 of 0
2,0,20 of 32,62%,36 of 48,0 of 0,---,0,0,2:35,15 of 26,2 of 3,3 of 3,13 of 23,3 of 4,4 of 5,0,8 of 20,40%,9 of 21,0 of 1,0%,1,0,0:39,5 of 17,2 of 2,1 of 1,8 of 18,0 of 2,0 of 0
3,0,4 of 8,50%,25 of 30,0 of 0,---,2,0,2:02,4 of 8,0 of 0,0 of 0,4 of 8,0 of 0,0 of 0,0,3 of 7,42%,3 of 7,0 of 1,0%,0,1,0:15,1 of 5,2 of 2,0 of 0,3 of 7,0 of 0,0 of 0
