,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
1,0,20 of 42,47%,20 of 42,0 of 0,---,0,0,0:16,13 of 35,4 of 4,3 of 3,19 of 41,1 of 1,0 of 0,0,22 of 64,34%,27 of 69,0 of 0,---,0,0,0:00,14 of 53,1 of 4,7 of 7,21 of 63,1 of 1,0 of 0
2,0,19 of 49,38%,19 of 49,0 of 0,---,0,0,0:00,13 of 39,1 of 5,5 of 5,19 of 49,0 of 0,0 of 0,0,23 of 60,38%,23 of 60,0 of 0,---,0,0,0:00,14 of 50,2 of 3,7 of 7,23 of 60,0 of 0,0 of 0
3,1,17 of 35,48%,22 of 42,0 of 3,0%,0,0,2:09,17 of 34,0 of 1,0 of 0,8 of 24,5 of 7,4 of 4,0,14 of 42,33%,19 of 48,0 of 0,---,0,0,0:05,10 of 37,0 of 1,4 of 4,12 of 39,1 of 2,1 of 1
