,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
1,0,35 of 58,60%,43 of 66,0 of 1,0%,0,0,0:21,22 of 44,13 of 14,0 of 0,20 of 41,15 of 17,0 of 0,0,9 of 17,52%,9 of 17,1 of 2,50%,0,0,0:32,7 of 15,2 of 2,0 of 0,9 of 16,0 of 1,0 of 0
2,0,41 of 69,59%,54 of 82,0 of 0,---,0,0,0:53,19 of 45,22 of 24,0 of 0,16 of 41,25 of 28,0 of 0,0,25 of 43,58%,25 of 43,0 of 2,0%,0,0,0:00,15 of 33,6 of 6,4 of 4,24 of 42,1 of 1,0 of 0
3,1,44 of 60,73%,62 of 86,0 of 1,0%,0,0,1:37,29 of 44,14 of 15,1 of 1,23 of 36,17 of 18,4 of 6,0,6 of 21,28%,6 of 21,0 of 0,---,0,0,0:02,6 of 20,0 of 1,0 of 0,6 of 19,0 of 2,0 of 0
