,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
1,0,14 of 33,42%,19 of 38,1 of 1,100%,0,0,0:33,12 of 30,0 of 1,2 of 2,13 of 28,1 of 5,0 of 0,0,32 of 76,42%,40 of 86,0 of 2,0%,0,0,0:29,14 of 51,14 of 20,4 of 5,23 of 59,9 of 17,0 of 0
2,0,8 of 22,36%,14 of 28,0 of 2,0%,1,0,1:26,6 of 20,1 of 1,1 of 1,6 of 20,2 of 2,0 of 0,0,21 of 46,45%,36 of 61,2 of 3,66%,0,0,1:52,6 of 28,8 of 11,7 of 7,10 of 33,10 of 12,1 of 1
3,0,2 of 3,66%,12 of 13,5 of 10,50%,0,0,4:18,0 of 1,0 of 0,2 of 2,0 of 1,2 of 2,0 of 0,0,2 of 3,66%,22 of 23,0 of 0,---,1,0,0:30,0 of 0,2 of 3,0 of 0,0 of 1,2 of 2,0 of 0
