,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
1,0,7 of 18,38%,12 of 23,0 of 0,---,0,0,1:40,3 of 13,2 of 2,2 of 3,6 of 16,1 of 2,0 of 0,0,11 of 35,31%,11 of 35,0 of 4,0%,0,0,0:00,9 of 27,1 of 5,1 of 3,11 of 35,0 of 0,0 of 0
2,0,8 of 14,57%,28 of 37,1 of 1,100%,0,0,3:07,7 of 13,1 of 1,0 of 0,6 of 10,1 of 2,1 of 2,0,3 of 17,17%,9 of 23,0 of 3,0%,0,0,0:00,1 of 9,1 of 5,1 of 3,3 of 17,0 of 0,0 of 0
3,0,8 of 16,50%,33 of 44,2 of 3,66%,0,0,3:34,6 of 12,2 of 4,0 of 0,5 of 11,1 of 2,2 of 3,0,2 of 11,18%,4 of 13,0 of 2,0%,0,0,0:01,1 of 9,1 of 2,0 of 0,1 of 7,1 of 3,0 of 1
