,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
1,0,10 of 31,32%,10 of 31,0 of 0,---,0,0,0:00,2 of 14,1 of 3,7 of 14,10 of 31,0 of 0,0 of 0,0,9 of 21,42%,9 of 21,0 of 0,---,0,0,0:00,6 of 18,2 of 2,1 of 1,9 of 20,0 of 1,0 of 0
2,0,24 of 57,42%,24 of 57,0 of 0,---,0,0,0:00,10 of 42,2 of 3,12 of 12,24 of 56,0 of 1,0 of 0,0,5 of 20,25%,5 of 20,0 of 0,---,0,0,0:00,2 of 15,3 of 5,0 of 0,4 of 19,1 of 1,0 of 0
3,1,38 of 69,55%,38 of 69,0 of 0,---,0,0,0:01,24 of 51,7 of 8,7 of 10,36 of 67,2 of 2,0 of 0,0,6 of 21,28%,6 of 21,0 of 0,---,0,0,0:00,4 of 19,2 of 2,0 of 0,6 of 20,0 of 1,0 of 0
