,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
1,0,45 of 109,41%,46 of 110,1 of 1,100%,0,0,0:15,30 of 89,4 of 9,11 of 11,41 of 101,4 of 8,0 of 0,1,30 of 71,42%,30 of 71,0 of 2,0%,0,0,0:16,23 of 57,6 of 12,1 of 2,29 of 67,1 of 3,0 of 1
2,0,26 of 46,56%,45 of 67,2 of 3,66%,0,0,2:22,18 of 35,4 of 5,4 of 6,23 of 41,3 of 4,0 of 1,0,7 of 18,38%,12 of 23,0 of 2,0%,0,0,0:40,6 of 16,1 of 2,0 of 0,6 of 17,1 of 1,0 of 0
3,0,23 of 36,63%,60 of 75,2 of 2,100%,0,0,4:16,17 of 29,3 of 4,3 of 3,5 of 12,1 of 1,17 of 23,0,7 of 12,58%,10 of 16,0 of 1,0%,0,0,0:00,6 of 10,1 of 2,0 of 0,7 of 11,0 of 1,0 of 0
