,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
1,1,23 of 56,41%,25 of 58,0 of 2,0%,1,0,0:30,15 of 47,3 of 3,5 of 6,20 of 50,1 of 3,2 of 3,0,17 of 50,34%,17 of 50,0 of 0,---,0,0,0:01,5 of 26,5 of 15,7 of 9,16 of 48,1 of 2,0 of 0
2,0,7 of 17,41%,28 of 41,0 of 1,0%,1,1,2:19,7 of 17,0 of 0,0 of 0,4 of 11,0 of 0,3 of 6,0,4 of 21,19%,12 of 31,1 of 1,100%,0,0,1:40,2 of 19,1 of 1,1 of 1,2 of 14,0 of 1,2 of 6
3,0,19 of 49,38%,24 of 54,0 of 2,0%,1,0,0:00,12 of 41,0 of 0,7 of 8,17 of 44,1 of 3,1 of 2,0,16 of 49,32%,16 of 49,0 of 0,---,0,0,0:35,7 of 34,4 of 9,5 of 6,14 of 43,1 of 3,1 of 3
