,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
1,0,15 of 50,30%,15 of 50,0 of 0,---,0,0,0:00,7 of 39,0 of 0,8 of 11,14 of 48,1 of 2,0 of 0,0,10 of 26,38%,10 of 26,0 of 0,---,0,0,0:00,6 of 20,1 of 3,3 of 3,10 of 26,0 of 0,0 of 0
2,0,16 of 47,34%,16 of 47,0 of 0,---,0,0,0:00,3 of 33,0 of 0,13 of 14,15 of 46,1 of 1,0 of 0,0,9 of 22,40%,9 of 22,0 of 0,---,0,0,0:00,5 of 18,1 of 1,3 of 3,9 of 22,0 of 0,0 of 0
3,0,15 of 47,31%,15 of 47,0 of 0,---,0,0,0:00,7 of 35,0 of 1,8 of 11,15 of 47,0 of 0,0 of 0,0,7 of 21,33%,7 of 21,0 of 0,---,0,0,0:00,3 of 15,0 of 1,4 of 5,7 of 21,0 of 0,0 of 0
