,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
1,0,15 of 27,55%,21 of 35,0 of 0,---,0,0,0:00,7 of 13,4 of 8,4 of 6,13 of 25,0 of 0,2 of 2,0,17 of 31,54%,17 of 31,1 of 2,50%,0,0,1:00,10 of 23,5 of 5,2 of 3,16 of 30,1 of 1,0 of 0
2,0,21 of 38,55%,33 of 50,0 of 1,0%,0,0,0:00,13 of 28,4 of 6,4 of 4,21 of 38,0 of 0,0 of 0,0,20 of 52,38%,20 of 52,1 of 2,50%,0,0,0:38,8 of 38,5 of 7,7 of 7,19 of 51,1 of 1,0 of 0
3,0,27 of 48,56%,27 of 48,0 of 0,---,0,0,0:00,24 of 43,2 of 4,1 of 1,26 of 47,1 of 1,0 of 0,0,25 of 65,38%,25 of 65,0 of 4,0%,0,0,0:08,13 of 51,8 of 10,4 of 4,24 of 62,1 of 3,0 of 0
