,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
1,0,19 of 35,54%,20 of 37,0 of 0,---,0,0,0:51,16 of 31,1 of 2,2 of 2,16 of 32,1 of 1,2 of 2,0,9 of 42,21%,9 of 42,0 of 0,---,0,0,0:00,4 of 33,3 of 7,2 of 2,9 of 42,0 of 0,0 of 0
2,0,28 of 63,44%,28 of 63,0 of 0,---,0,0,0:00,20 of 54,0 of 1,8 of 8,27 of 59,1 of 4,0 of 0,1,22 of 84,26%,22 of 84,0 of 0,---,0,0,0:11,15 of 71,6 of 12,1 of 1,19 of 76,2 of 5,1 of 3
3,0,12 of 39,30%,14 of 42,1 of 2,50%,0,1,0:38,9 of 35,2 of 3,1 of 1,7 of 28,5 of 11,0 of 0,0,14 of 37,37%,20 of 44,0 of 1,0%,0,1,2:09,7 of 29,3 of 4,4 of 4,11 of 30,3 of 7,0 of 0
