,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
1,0,23 of 50,46%,23 of 50,0 of 0,---,0,0,0:00,10 of 35,7 of 7,6 of 8,23 of 50,0 of 0,0 of 0,0,11 of 31,35%,11 of 31,0 of 0,---,0,0,0:26,8 of 27,1 of 1,2 of 3,11 of 31,0 of 0,0 of 0
2,0,11 of 39,28%,13 of 41,0 of 1,0%,0,0,0:07,8 of 33,3 of 5,0 of 1,11 of 39,0 of 0,0 of 0,0,11 of 50,22%,12 of 52,0 of 0,---,0,0,0:32,5 of 42,4 of 5,2 of 3,11 of 50,0 of 0,0 of 0
3,1,31 of 68,45%,33 of 72,0 of 0,---,0,0,0:22,14 of 49,14 of 16,3 of 3,20 of 45,0 of 2,11 of 21,0,12 of 47,25%,12 of 47,0 of 0,---,0,0,0:06,10 of 42,2 of 5,0 of 0,12 of 44,0 of 0,0 of 3
