,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
1,0,27 of 55,49%,29 of 58,0 of 0,---,0,0,0:02,10 of 37,13 of 14,4 of 4,27 of 54,0 of 1,0 of 0,0,17 of 34,50%,25 of 43,0 of 1,0%,0,0,1:30,7 of 20,4 of 7,6 of 7,16 of 33,1 of 1,0 of 0
2,0,34 of 65,52%,37 of 69,0 of 0,---,0,0,0:00,15 of 45,18 of 19,1 of 1,32 of 61,2 of 4,0 of 0,0,29 of 58,50%,29 of 58,0 of 2,0%,0,0,0:00,16 of 37,5 of 8,8 of 13,29 of 58,0 of 0,0 of 0
3,0,19 of 57,33%,19 of 57,0 of 0,---,0,0,0:00,7 of 41,12 of 16,0 of 0,19 of 57,0 of 0,0 of 0,0,20 of 50,40%,20 of 50,0 of 0,---,0,0,0:00,7 of 31,6 of 12,7 of 7,20 of 50,0 of 0,0 of 0
