,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
1,0,19 of 48,39%,19 of 48,0 of 0,---,0,0,0:09,17 of 46,2 of 2,0 of 0,17 of 44,2 of 4,0 of 0,0,14 of 42,33%,21 of 51,0 of 1,0%,0,0,0:20,12 of 38,2 of 4,0 of 0,13 of 40,1 of 2,0 of 0
2,0,10 of 44,22%,10 of 44,0 of 0,---,0,0,0:00,6 of 37,3 of 6,1 of 1,9 of 43,1 of 1,0 of 0,0,20 of 54,37%,23 of 57,1 of 1,100%,0,0,0:26,15 of 43,4 of 10,1 of 1,18 of 52,2 of 2,0 of 0
3,0,20 of 70,28%,20 of 70,0 of 0,---,0,0,0:00,12 of 61,8 of 8,0 of 1,20 of 69,0 of 1,0 of 0,0,24 of 70,34%,24 of 70,0 of 1,0%,0,0,0:02,22 of 63,2 of 7,0 of 0,24 of 68,0 of 2,0 of 0
