,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
1,0,14 of 37,37%,20 of 43,1 of 1,100%,0,0,0:42,3 of 20,4 of 7,7 of 10,13 of 34,0 of 0,1 of 3,0,8 of 19,42%,10 of 21,0 of 0,---,0,0,0:00,6 of 16,1 of 2,1 of 1,7 of 18,0 of 0,1 of 1
2,0,22 of 33,66%,43 of 58,1 of 1,100%,2,0,3:57,18 of 28,2 of 3,2 of 2,4 of 5,0 of 0,18 of 28,0,3 of 7,42%,5 of 9,0 of 0,---,0,1,0:11,2 of 5,1 of 2,0 of 0,2 of 5,0 of 0,1 of 2
3,0,3 of 11,27%,3 of 11,0 of 4,0%,0,0,0:00,0 of 5,0 of 1,3 of 5,3 of 11,0 of 0,0 of 0,0,17 of 41,41%,41 of 69,1 of 1,100%,0,0,1:08,14 of 37,1 of 2,2 of 2,7 of 28,5 of 8,5 of 5
