,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
1,0,13 of 21,61%,19 of 27,0 of 0,---,0,0,0:00,7 of 15,3 of 3,3 of 3,7 of 15,5 of 5,1 of 1,0,13 of 27,48%,32 of 48,2 of 4,50%,0,0,3:31,8 of 22,5 of 5,0 of 0,5 of 17,4 of 6,4 of 4
2,0,16 of 22,72%,28 of 36,0 of 0,---,2,1,0:00,3 of 8,8 of 8,5 of 6,7 of 11,8 of 10,1 of 1,0,17 of 32,53%,43 of 61,1 of 2,50%,0,0,3:56,10 of 23,5 of 7,2 of 2,3 of 16,12 of 14,2 of 2
3,0,20 of 42,47%,21 of 43,0 of 1,0%,0,0,0:21,10 of 31,5 of 5,5 of 6,13 of 35,5 of 5,2 of 2,0,25 of 45,55%,37 of 58,4 of 5,80%,0,0,2:57,19 of 37,6 of 8,0 of 0,15 of 30,6 of 11,4 of 4
4,0,6 of 19,31%,7 of 21,0 of 0,---,0,0,0:00,4 of 17,0 of 0,2 of 2,6 of 19,0 of 0,0 of 0,0,41 of 68,60%,46 of 75,3 of 3,100%,0,0,3:32,32 of 59,6 of 6,3 of 3,18 of 35,2 of 2,21 of 31
5,0,7 of 8,87%,9 of 11,0 of 0,---,0,0,0:00,3 of 3,3 of 4,1 of 1,2 of 3,4 of 4,1 of 1,0,34 of 51,66%,69 of 92,2 of 4,50%,0,0,4:31,26 of 42,7 of 8,1 of 1,7 of 13,9 of 10,18 of 28
