,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
1,0,11 of 34,32%,11 of 34,0 of 5,0%,0,0,0:12,10 of 29,1 of 4,0 of 1,11 of 33,0 of 1,0 of 0,1,24 of 64,37%,33 of 73,0 of 0,---,0,0,0:16,21 of 59,2 of 4,1 of 1,15 of 49,7 of 12,2 of 3
2,0,13 of 52,25%,13 of 52,0 of 1,0%,0,0,0:00,6 of 39,5 of 9,2 of 4,13 of 52,0 of 0,0 of 0,0,5 of 30,16%,5 of 30,0 of 0,---,0,0,0:00,5 of 29,0 of 1,0 of 0,5 of 30,0 of 0,0 of 0
3,0,16 of 40,40%,19 of 43,0 of 2,0%,0,0,0:00,8 of 28,2 of 5,6 of 7,16 of 39,0 of 1,0 of 0,0,8 of 47,17%,9 of 48,0 of 0,---,0,0,0:00,6 of 42,1 of 3,1 of 2,8 of 46,0 of 1,0 of 0
4,1,21 of 50,42%,21 of 50,0 of 3,0%,0,0,0:03,15 of 41,1 of 4,5 of 5,17 of 44,1 of 2,3 of 4,0,5 of 29,17%,5 of 29,0 of 2,0%,0,0,0:00,4 of 28,1 of 1,0 of 0,4 of 28,1 of 1,0 of 0
