,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
1,0,7 of 38,18%,27 of 59,0 of 0,---,0,0,0:00,2 of 27,2 of 6,3 of 5,6 of 37,0 of 0,1 of 1,0,8 of 34,23%,21 of 48,1 of 3,33%,0,0,1:48,7 of 30,0 of 3,1 of 1,7 of 32,1 of 1,0 of 1
2,0,17 of 56,30%,23 of 62,0 of 0,---,0,0,0:00,9 of 44,4 of 8,4 of 4,15 of 51,2 of 5,0 of 0,0,20 of 52,38%,20 of 52,0 of 1,0%,0,0,0:04,17 of 47,3 of 4,0 of 1,18 of 49,2 of 3,0 of 0
3,0,14 of 42,33%,14 of 42,0 of 1,0%,0,0,0:00,10 of 36,2 of 3,2 of 3,14 of 41,0 of 1,0 of 0,0,26 of 64,40%,26 of 64,0 of 1,0%,0,0,0:00,23 of 60,2 of 3,1 of 1,23 of 61,3 of 3,0 of 0
