,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
1,1,15 of 20,75%,20 of 25,1 of 1,100%,0,0,3:17,4 of 9,1 of 1,10 of 10,2 of 6,7 of 7,6 of 7,0,4 of 12,33%,6 of 14,1 of 2,50%,0,0,1:06,3 of 11,0 of 0,1 of 1,3 of 10,1 of 2,0 of 0
2,0,14 of 21,66%,23 of 30,1 of 7,14%,0,0,4:00,4 of 11,0 of 0,10 of 10,4 of 11,10 of 10,0 of 0,0,11 of 16,68%,26 of 31,0 of 2,0%,0,0,0:04,11 of 15,0 of 1,0 of 0,5 of 10,6 of 6,0 of 0
3,0,18 of 27,66%,49 of 58,1 of 2,50%,0,0,1:41,10 of 19,6 of 6,2 of 2,6 of 15,0 of 0,12 of 12,0,4 of 23,17%,4 of 23,0 of 1,0%,1,0,1:36,4 of 22,0 of 1,0 of 0,4 of 23,0 of 0,0 of 0
